verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,001,05:00,05:15,,,0,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,002,05:15,05:30,,,0,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,003,05:30,05:45,,,0,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,004,05:45,06:00,,,0,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,005,06:00,06:15,,,0,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,006,06:15,06:30,,,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,007,06:30,06:45,,,1,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,008,06:45,07:00,,,0,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,009,07:00,07:15,,,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,010,07:15,07:30,,,3,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,011,07:30,07:45,,,3,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,012,07:45,08:00,,,4,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,013,08:00,08:15,,,2,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,014,08:15,08:30,,,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,015,08:30,08:45,,,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,016,08:45,09:00,,,1,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,017,09:00,09:15,,,1,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,018,09:15,09:30,,,3,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,019,09:30,09:45,,,7,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,020,09:45,10:00,,,1,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,021,10:00,10:15,,,4,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,022,10:15,10:30,,,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,023,10:30,10:45,,,3,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,024,10:45,11:00,,,5,,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,025,11:00,11:15,,,2,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,026,11:15,11:30,,,3,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,027,11:30,11:45,,,3,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,028,11:45,12:00,,,3,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,029,12:00,12:15,,,1,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,030,12:15,12:30,,,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,031,12:30,12:45,,,6,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,032,12:45,13:00,,,1,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,033,13:00,13:15,,,1,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,034,13:15,13:30,,,3,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,035,13:30,13:45,,,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,036,13:45,14:00,,,0,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,037,14:00,14:15,,,5,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,038,14:15,14:30,,,4,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,039,14:30,14:45,,,1,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,040,14:45,15:00,,,5,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Listemannstraße,041,15:00,15:15,,,10,,0,0,0
