verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,001,06:00,06:15,3,1,16,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,002,06:15,06:30,4,1,9,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,003,06:30,06:45,4,0,17,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,004,06:45,07:00,3,0,33,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,005,07:00,07:15,3,0,31,,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,006,07:15,07:30,7,1,47,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,007,07:30,07:45,3,0,52,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,008,07:45,08:00,6,0,44,,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,009,08:00,08:15,3,0,29,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,010,08:15,08:30,1,0,22,,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,011,08:30,08:45,1,0,29,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,012,08:45,09:00,7,0,23,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,013,09:00,09:15,5,0,32,,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,014,09:15,09:30,1,0,19,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,015,09:30,09:45,1,0,42,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,016,09:45,10:00,3,1,22,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,017,10:00,10:15,2,0,37,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,018,10:15,10:30,7,0,30,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,019,10:30,10:45,6,0,30,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,020,10:45,11:00,4,1,27,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,021,11:00,11:15,2,0,27,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,022,11:15,11:30,3,1,27,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,023,11:30,11:45,2,1,35,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,024,11:45,12:00,4,0,30,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,025,12:00,12:15,6,0,29,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,026,12:15,12:30,2,0,24,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,027,12:30,12:45,1,0,20,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,028,12:45,13:00,0,0,17,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,029,13:00,13:15,3,0,37,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,030,13:15,13:30,2,0,29,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,031,13:30,13:45,9,0,24,,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,032,13:45,14:00,7,0,33,,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,033,14:00,14:15,9,0,22,,0,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,034,14:15,14:30,3,1,38,,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,035,14:30,14:45,7,1,29,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,036,14:45,15:00,7,0,32,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,037,15:00,15:15,10,0,27,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,038,15:15,15:30,8,1,40,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,039,15:30,15:45,6,1,39,,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,040,15:45,16:00,7,0,43,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,041,16:00,16:15,8,1,39,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,042,16:15,16:30,6,0,43,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,043,16:30,16:45,4,1,49,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,044,16:45,17:00,3,4,44,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,045,17:00,17:15,6,0,36,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,046,17:15,17:30,2,1,36,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,047,17:30,17:45,5,0,39,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,048,17:45,18:00,7,0,33,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,049,18:00,18:15,5,0,43,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,050,18:15,18:30,7,1,37,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,051,18:30,18:45,1,0,21,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Agnetenstraße,052,18:45,19:00,3,0,28,,0,0,0
2,A,1,1,AL...(3),Zählstrom,,Linksabbieger Agnetenstraße,001,06:00,06:15,2,1,4,,0,1,0
2,A,1,1,AL...(3),Zählstrom,,Linksabbieger Agnetenstraße,002,06:15,06:30,0,0,5,,0,1,0
