verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),001,06:00,06:15,1,0,21,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),002,06:15,06:30,3,0,28,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),003,06:30,06:45,3,0,33,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),004,06:45,07:00,5,0,35,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),005,07:00,07:15,0,0,20,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),006,07:15,07:30,3,13,42,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),007,07:30,07:45,3,0,39,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),008,07:45,08:00,1,0,37,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),009,08:00,08:15,2,0,27,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),010,08:15,08:30,2,0,33,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),011,08:30,08:45,3,0,28,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),012,08:45,09:00,2,0,39,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),013,09:00,09:15,2,0,24,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),014,09:15,09:30,2,0,29,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),015,09:30,09:45,4,1,23,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),016,09:45,10:00,2,0,28,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),017,10:00,10:15,1,0,19,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),018,10:15,10:30,3,0,22,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),019,10:30,10:45,0,1,28,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),020,10:45,11:00,1,0,18,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),021,11:00,11:15,1,1,10,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),022,11:15,11:30,7,0,18,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),023,11:30,11:45,6,0,27,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),024,11:45,12:00,2,0,21,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),025,12:00,12:15,2,0,26,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),026,12:15,12:30,1,0,22,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),027,12:30,12:45,0,0,21,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),028,12:45,13:00,1,0,28,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),029,13:00,13:15,3,0,19,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),030,13:15,13:30,3,0,21,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),031,13:30,13:45,5,0,14,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),032,13:45,14:00,1,2,19,,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),033,14:00,14:15,2,0,19,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),034,14:15,14:30,3,0,44,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),035,14:30,14:45,3,1,24,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),036,14:45,15:00,3,1,28,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),037,15:00,15:15,3,0,23,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),038,15:15,15:30,3,0,21,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),039,15:30,15:45,7,0,32,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),040,15:45,16:00,0,1,18,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),041,16:00,16:15,2,1,29,,0,0,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),042,16:15,16:30,0,0,22,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),043,16:30,16:45,3,0,26,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),044,16:45,17:00,1,0,33,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),045,17:00,17:15,1,0,28,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),046,17:15,17:30,1,1,22,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),047,17:30,17:45,2,0,20,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),048,17:45,18:00,4,1,31,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),049,18:00,18:15,0,0,16,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),050,18:15,18:30,2,1,23,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),051,18:30,18:45,2,0,13,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Albert-Vater-Straße (West),052,18:45,19:00,0,0,14,,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Albert-Vater-Straße (West),001,06:00,06:15,3,3,72,,0,3,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Albert-Vater-Straße (West),002,06:15,06:30,5,4,118,,1,2,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Albert-Vater-Straße (West),003,06:30,06:45,12,4,150,,3,1,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Albert-Vater-Straße (West),004,06:45,07:00,20,4,201,,4,1,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Albert-Vater-Straße (West),005,07:00,07:15,20,1,149,,1,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Albert-Vater-Straße (West),006,07:15,07:30,11,2,196,,1,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Albert-Vater-Straße (West),007,07:30,07:45,8,2,169,,4,3,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Albert-Vater-Straße (West),008,07:45,08:00,14,2,153,,2,1,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Albert-Vater-Straße (West),009,08:00,08:15,10,1,128,,3,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Albert-Vater-Straße (West),010,08:15,08:30,9,0,132,,5,2,1
