verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),001,06:00,06:15,0,,0,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),002,06:15,06:30,0,,1,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),003,06:30,06:45,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),004,06:45,07:00,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),005,07:00,07:15,0,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),006,07:15,07:30,0,,7,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),007,07:30,07:45,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),008,07:45,08:00,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),009,08:00,08:15,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),010,08:15,08:30,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),011,08:30,08:45,0,,3,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),012,08:45,09:00,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),013,09:00,09:15,0,,4,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),014,09:15,09:30,0,,7,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),015,09:30,09:45,0,,20,0,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),016,09:45,10:00,0,,22,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),017,10:00,10:15,0,,22,0,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),018,10:15,10:30,0,,26,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),019,10:30,10:45,0,,22,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),020,10:45,11:00,0,,14,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),021,11:00,11:15,0,,22,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),022,11:15,11:30,0,,27,0,0,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),023,11:30,11:45,0,,20,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),024,11:45,12:00,0,,20,0,1,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),025,12:00,12:15,0,,20,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),026,12:15,12:30,0,,26,3,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),027,12:30,12:45,0,,20,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),028,12:45,13:00,0,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),029,13:00,13:15,0,,10,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),030,13:15,13:30,0,,12,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),031,13:30,13:45,0,,19,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),032,13:45,14:00,0,,18,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),033,14:00,14:15,0,,13,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),034,14:15,14:30,0,,21,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),035,14:30,14:45,0,,14,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),036,14:45,15:00,0,,13,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),037,15:00,15:15,0,,25,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),038,15:15,15:30,0,,18,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),039,15:30,15:45,0,,22,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),040,15:45,16:00,0,,13,0,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),041,16:00,16:15,0,,22,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),042,16:15,16:30,0,,25,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),043,16:30,16:45,0,,25,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),044,16:45,17:00,0,,29,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),045,17:00,17:15,0,,26,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),046,17:15,17:30,0,,32,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),047,17:30,17:45,0,,35,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),048,17:45,18:00,0,,33,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),049,18:00,18:15,0,,27,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),050,18:15,18:30,0,,22,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),051,18:30,18:45,0,,24,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Rampe MR (W),052,18:45,19:00,0,,17,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,001,06:00,06:15,0,,3,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,002,06:15,06:30,0,,14,3,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,003,06:30,06:45,0,,17,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,004,06:45,07:00,0,,10,2,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,005,07:00,07:15,0,,10,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,006,07:15,07:30,0,,21,3,2,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,007,07:30,07:45,0,,27,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,008,07:45,08:00,0,,18,2,2,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,009,08:00,08:15,0,,11,4,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,010,08:15,08:30,0,,7,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,011,08:30,08:45,0,,8,3,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,012,08:45,09:00,0,,10,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,013,09:00,09:15,0,,8,0,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,014,09:15,09:30,0,,10,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,015,09:30,09:45,0,,7,4,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,016,09:45,10:00,0,,13,2,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,017,10:00,10:15,0,,7,5,0,1,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,018,10:15,10:30,0,,8,0,1,1,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,019,10:30,10:45,0,,6,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,020,10:45,11:00,0,,6,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,021,11:00,11:15,0,,8,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,022,11:15,11:30,0,,10,1,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,023,11:30,11:45,0,,5,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,024,11:45,12:00,0,,5,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,025,12:00,12:15,0,,2,2,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,026,12:15,12:30,0,,3,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,027,12:30,12:45,0,,6,2,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,028,12:45,13:00,0,,5,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,029,13:00,13:15,0,,15,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,030,13:15,13:30,0,,7,5,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,031,13:30,13:45,0,,14,0,1,1,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,032,13:45,14:00,0,,12,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,033,14:00,14:15,0,,14,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,034,14:15,14:30,0,,19,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,035,14:30,14:45,0,,21,2,2,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,036,14:45,15:00,0,,20,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,037,15:00,15:15,0,,19,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,038,15:15,15:30,0,,33,3,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,039,15:30,15:45,0,,21,0,1,1,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,040,15:45,16:00,0,,16,4,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,041,16:00,16:15,0,,17,2,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,042,16:15,16:30,0,,15,3,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,043,16:30,16:45,0,,12,1,2,2,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,044,16:45,17:00,0,,10,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,045,17:00,17:15,0,,10,3,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,046,17:15,17:30,0,,11,2,0,1,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,047,17:30,17:45,0,,13,3,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,048,17:45,18:00,0,,5,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,049,18:00,18:15,0,,10,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,050,18:15,18:30,0,,13,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,051,18:30,18:45,0,,9,1,2,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Rampe MR,052,18:45,19:00,0,,9,2,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),001,06:00,06:15,0,,3,0,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),002,06:15,06:30,0,,2,1,0,1,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),003,06:30,06:45,0,,3,0,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),004,06:45,07:00,0,,4,0,1,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),005,07:00,07:15,0,,2,5,0,1,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),006,07:15,07:30,0,,6,1,0,1,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),007,07:30,07:45,0,,4,1,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),008,07:45,08:00,0,,8,0,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),009,08:00,08:15,0,,2,2,1,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),010,08:15,08:30,0,,2,1,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),011,08:30,08:45,0,,7,3,1,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),012,08:45,09:00,0,,4,1,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),013,09:00,09:15,0,,5,1,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),014,09:15,09:30,0,,7,1,0,1,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),015,09:30,09:45,0,,3,1,0,1,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),016,09:45,10:00,0,,4,3,1,1,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),017,10:00,10:15,0,,4,4,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),018,10:15,10:30,0,,1,1,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),019,10:30,10:45,0,,4,0,1,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),020,10:45,11:00,0,,2,1,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),021,11:00,11:15,0,,1,0,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),022,11:15,11:30,0,,2,0,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),023,11:30,11:45,0,,4,3,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),024,11:45,12:00,0,,3,0,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),025,12:00,12:15,0,,2,2,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),026,12:15,12:30,0,,4,0,2,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),027,12:30,12:45,0,,7,0,1,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Barleber Chaussee(N),028,12:45,13:00,0,,2,1,0,0,0
