verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),001,06:00,06:15,1,0,22,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),002,06:15,06:30,0,1,46,,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),003,06:30,06:45,5,1,72,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),004,06:45,07:00,7,1,87,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),005,07:00,07:15,11,1,65,,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),006,07:15,07:30,11,0,82,,0,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),007,07:30,07:45,6,0,67,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),008,07:45,08:00,4,0,69,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),009,08:00,08:15,1,0,43,,4,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),010,08:15,08:30,3,1,45,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),011,08:30,08:45,2,1,45,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),012,08:45,09:00,3,2,36,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),013,09:00,09:15,8,0,56,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),014,09:15,09:30,5,0,45,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),015,09:30,09:45,8,0,26,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),016,09:45,10:00,6,0,36,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),017,10:00,10:15,6,1,53,,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),018,10:15,10:30,5,0,46,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),019,10:30,10:45,5,0,47,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),020,10:45,11:00,3,0,40,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Brenneckestr.  (West),021,11:00,11:15,12,0,41,,1,0,0
