verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),001,06:00,06:15,0,0,12,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),002,06:15,06:30,0,0,14,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),003,06:30,06:45,0,0,25,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),004,06:45,07:00,0,0,30,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),005,07:00,07:15,0,0,20,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),006,07:15,07:30,0,0,23,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),007,07:30,07:45,0,0,30,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),008,07:45,08:00,0,0,27,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),009,08:00,08:15,0,0,23,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),010,08:15,08:30,0,0,12,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),011,08:30,08:45,0,0,15,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),012,08:45,09:00,0,1,28,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),013,09:00,09:15,0,0,33,,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),014,09:15,09:30,0,0,20,,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),015,09:30,09:45,0,0,23,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),016,09:45,10:00,0,0,14,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),017,10:00,10:15,0,0,23,,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),018,10:15,10:30,0,0,29,,0,1,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),019,10:30,10:45,0,0,25,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),020,10:45,11:00,0,0,16,,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),021,11:00,11:15,0,0,27,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),022,11:15,11:30,0,0,18,,2,3,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),023,11:30,11:45,0,0,16,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße (West),024,11:45,12:00,0,1,21,,0,0,0
