verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,001,06:00,06:15,,0,13,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,002,06:15,06:30,,0,22,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,003,06:30,06:45,,0,28,1,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,004,06:45,07:00,,0,28,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,005,07:00,07:15,,0,45,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,006,07:15,07:30,,0,39,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,007,07:30,07:45,,0,52,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,008,07:45,08:00,,0,26,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,009,08:00,08:15,,0,24,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,010,08:15,08:30,,0,29,2,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,011,08:30,08:45,,0,22,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,012,08:45,09:00,,0,39,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,013,09:00,09:15,,0,35,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,014,09:15,09:30,,0,20,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,015,09:30,09:45,,0,25,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,016,09:45,10:00,,0,24,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,017,10:00,10:15,,0,16,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,018,10:15,10:30,,0,13,2,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,019,10:30,10:45,,0,23,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,020,10:45,11:00,,0,34,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,021,11:00,11:15,,0,29,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,022,11:15,11:30,,0,26,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,023,11:30,11:45,,0,22,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,024,11:45,12:00,,0,19,0,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,025,12:00,12:15,,0,35,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,026,12:15,12:30,,0,21,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,027,12:30,12:45,,0,19,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,028,12:45,13:00,,0,15,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,029,13:00,13:15,,0,37,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,030,13:15,13:30,,0,27,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,031,13:30,13:45,,0,29,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,032,13:45,14:00,,0,30,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,033,14:00,14:15,,0,33,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,034,14:15,14:30,,0,11,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,035,14:30,14:45,,0,23,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,036,14:45,15:00,,0,27,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,037,15:00,15:15,,0,26,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,038,15:15,15:30,,0,40,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,039,15:30,15:45,,0,32,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Straße,040,15:45,16:00,,0,26,2,0,0,0
