verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,001,06:00,06:15,,0,27,3,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,002,06:15,06:30,,0,46,2,0,0,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,003,06:30,06:45,,1,60,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,004,06:45,07:00,,0,61,4,0,1,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,005,07:00,07:15,,0,56,2,1,1,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,006,07:15,07:30,,0,54,1,2,1,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,007,07:30,07:45,,0,62,1,2,1,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,008,07:45,08:00,,0,67,4,2,1,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,009,08:00,08:15,,0,37,4,1,0,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,010,08:15,08:30,,0,37,1,1,1,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,011,08:30,08:45,,0,36,5,0,1,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,012,08:45,09:00,,0,50,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,013,09:00,09:15,,0,24,2,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,014,09:15,09:30,,0,19,1,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,015,09:30,09:45,,0,51,1,0,2,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,016,09:45,10:00,,0,21,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,017,10:00,10:15,,1,30,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,018,10:15,10:30,,0,42,0,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,019,10:30,10:45,,0,46,4,3,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,020,10:45,11:00,,0,31,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,021,11:00,11:15,,0,37,1,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,022,11:15,11:30,,0,29,1,2,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,023,11:30,11:45,,0,37,2,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,024,11:45,12:00,,0,35,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,025,12:00,12:15,,0,20,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,026,12:15,12:30,,0,32,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,027,12:30,12:45,,0,44,2,1,1,3
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,028,12:45,13:00,,1,35,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,029,13:00,13:15,,0,28,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,030,13:15,13:30,,0,48,4,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,031,13:30,13:45,,0,36,1,1,1,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,032,13:45,14:00,,0,57,1,0,0,3
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,033,14:00,14:15,,0,45,4,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,034,14:15,14:30,,0,33,1,0,0,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Damaschkeplatz,035,14:30,14:45,,0,47,3,3,0,2
