verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,001,06:00,06:15,12,0,18,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,002,06:15,06:30,8,0,10,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,003,06:30,06:45,5,0,19,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,004,06:45,07:00,12,1,33,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,005,07:00,07:15,13,0,35,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,006,07:15,07:30,20,0,35,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,007,07:30,07:45,19,0,53,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,008,07:45,08:00,15,1,38,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,009,08:00,08:15,11,0,26,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,010,08:15,08:30,13,0,25,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,011,08:30,08:45,9,0,36,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,012,08:45,09:00,12,0,27,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,013,09:00,09:15,12,0,22,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,014,09:15,09:30,11,0,23,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,015,09:30,09:45,17,0,27,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,016,09:45,10:00,24,0,19,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,017,10:00,10:15,16,0,23,,1,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,018,10:15,10:30,17,0,11,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,019,10:30,10:45,11,0,14,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,020,10:45,11:00,21,0,16,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,021,11:00,11:15,9,0,18,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,022,11:15,11:30,10,0,24,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,023,11:30,11:45,13,0,10,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,024,11:45,12:00,14,0,20,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,025,12:00,12:15,4,0,13,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,026,12:15,12:30,5,0,20,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,027,12:30,12:45,6,0,17,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,028,12:45,13:00,9,1,17,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,029,13:00,13:15,3,0,18,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,030,13:15,13:30,3,0,20,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,031,13:30,13:45,3,0,17,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,032,13:45,14:00,7,0,17,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,033,14:00,14:15,12,0,16,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,034,14:15,14:30,5,0,11,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,035,14:30,14:45,9,0,21,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,036,14:45,15:00,6,0,11,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,037,15:00,15:15,17,0,7,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,038,15:15,15:30,7,0,16,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,039,15:30,15:45,6,0,14,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,040,15:45,16:00,3,0,9,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,041,16:00,16:15,11,0,18,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,042,16:15,16:30,14,0,26,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,043,16:30,16:45,7,0,14,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,044,16:45,17:00,11,0,22,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,045,17:00,17:15,9,0,23,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,046,17:15,17:30,10,0,13,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,047,17:30,17:45,9,0,21,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,048,17:45,18:00,9,0,14,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,049,18:00,18:15,14,0,14,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,050,18:15,18:30,6,0,11,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,051,18:30,18:45,9,0,21,,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Ernst-Reuter-Allee (W) i. R. Bahnhofstraße,052,18:45,19:00,9,0,14,,0,0,0
