verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),001,06:00,06:15,0,0,3,,0,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),002,06:15,06:30,0,0,1,,0,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),003,06:30,06:45,0,0,1,,1,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),004,06:45,07:00,0,0,1,,0,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),005,07:00,07:15,0,0,0,,0,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),006,07:15,07:30,0,0,1,,0,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),007,07:30,07:45,0,0,0,,0,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),008,07:45,08:00,0,0,5,,0,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),009,08:00,08:15,0,0,4,,0,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),010,08:15,08:30,0,0,0,,0,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),011,08:30,08:45,0,0,5,,0,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),012,08:45,09:00,0,0,4,,0,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),013,09:00,09:15,0,0,4,,0,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),014,09:15,09:30,0,0,6,,0,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),015,09:30,09:45,0,0,7,,0,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),016,09:45,10:00,0,0,5,,0,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),017,10:00,10:15,0,0,6,,0,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),018,10:15,10:30,0,0,6,,0,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),019,10:30,10:45,0,0,8,,0,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),020,10:45,11:00,0,0,5,,0,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),021,11:00,11:15,0,0,5,,0,0,0
15,D,1,1,DR1,Zählstrom,,Rechtsabbieger 1 (a.R. Tiefgarage),022,11:15,11:30,0,0,7,,0,0,0
