verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,001,06:00,06:15,4,,26,4,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,002,06:15,06:30,11,,36,0,0,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,003,06:30,06:45,12,,43,2,0,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,004,06:45,07:00,18,,63,2,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,005,07:00,07:15,24,,64,4,3,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,006,07:15,07:30,19,,68,6,3,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,007,07:30,07:45,20,,84,2,2,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,008,07:45,08:00,19,,86,4,2,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,009,08:00,08:15,11,,57,3,6,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,010,08:15,08:30,8,,60,2,2,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,011,08:30,08:45,14,,58,4,3,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,012,08:45,09:00,9,,58,4,4,2,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,013,09:00,09:15,3,,65,3,3,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,014,09:15,09:30,6,,65,6,4,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,015,09:30,09:45,13,,53,4,5,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,016,09:45,10:00,11,,79,8,1,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,017,10:00,10:15,12,,59,4,1,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,018,10:15,10:30,14,,64,9,3,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,019,10:30,10:45,8,,74,5,3,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,020,10:45,11:00,12,,64,9,3,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,021,11:00,11:15,15,,60,2,2,0,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,022,11:15,11:30,16,,69,5,1,0,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,023,11:30,11:45,11,,63,5,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,024,11:45,12:00,14,,59,10,4,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,025,12:00,12:15,9,,48,3,5,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,026,12:15,12:30,6,,67,3,4,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,027,12:30,12:45,12,,63,3,3,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,028,12:45,13:00,13,,62,7,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,029,13:00,13:15,8,,57,4,3,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,030,13:15,13:30,14,,52,5,3,0,3
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,031,13:30,13:45,15,,54,7,1,0,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,032,13:45,14:00,7,,49,0,0,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,033,14:00,14:15,9,,66,1,2,2,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,034,14:15,14:30,14,,69,3,2,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,035,14:30,14:45,12,,86,7,3,0,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,036,14:45,15:00,11,,63,5,4,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,037,15:00,15:15,14,,75,2,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,038,15:15,15:30,11,,59,1,1,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,039,15:30,15:45,8,,69,5,4,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,040,15:45,16:00,6,,87,1,2,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,041,16:00,16:15,13,,73,4,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,042,16:15,16:30,19,,79,0,0,0,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,043,16:30,16:45,10,,88,2,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,044,16:45,17:00,5,,57,3,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,045,17:00,17:15,12,,71,1,0,0,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,046,17:15,17:30,6,,64,1,2,0,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,047,17:30,17:45,10,,67,0,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,048,17:45,18:00,7,,60,3,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,049,18:00,18:15,15,,63,3,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,050,18:15,18:30,14,,54,2,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,051,18:30,18:45,14,,62,5,0,0,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Erzberger Straße a. R. Uniplatz,052,18:45,19:00,13,,55,2,0,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,001,06:00,06:15,0,,23,4,1,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,002,06:15,06:30,0,,36,4,0,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,003,06:30,06:45,0,,42,2,1,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,004,06:45,07:00,1,,43,3,0,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,005,07:00,07:15,0,,64,2,2,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,006,07:15,07:30,0,,50,3,2,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,007,07:30,07:45,0,,67,5,0,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,008,07:45,08:00,0,,68,2,1,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,009,08:00,08:15,0,,43,2,0,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,010,08:15,08:30,0,,45,2,0,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,011,08:30,08:45,0,,32,1,0,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,012,08:45,09:00,0,,46,1,1,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,013,09:00,09:15,0,,56,2,0,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,014,09:15,09:30,0,,48,9,1,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,015,09:30,09:45,0,,41,2,0,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,016,09:45,10:00,0,,45,2,1,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,017,10:00,10:15,0,,41,1,0,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,018,10:15,10:30,0,,33,3,0,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,019,10:30,10:45,0,,37,1,0,0,2
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,020,10:45,11:00,0,,40,0,0,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,021,11:00,11:15,0,,34,0,0,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,022,11:15,11:30,0,,28,1,0,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,023,11:30,11:45,0,,47,2,1,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,024,11:45,12:00,0,,29,0,0,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,025,12:00,12:15,0,,34,4,0,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,026,12:15,12:30,0,,27,1,0,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,027,12:30,12:45,0,,34,1,0,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Erzberger Straße a. R. Uniplatz,028,12:45,13:00,0,,35,0,0,0,1
