verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,001,06:00,06:15,1,,27,1,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,002,06:15,06:30,4,,36,3,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,003,06:30,06:45,2,,59,2,3,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,004,06:45,07:00,1,,63,3,1,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,005,07:00,07:15,0,,52,6,3,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,006,07:15,07:30,2,,39,7,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,007,07:30,07:45,0,,44,6,4,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,008,07:45,08:00,1,,41,2,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,009,08:00,08:15,5,,1,39,8,2,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,010,08:15,08:30,1,,42,8,3,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,011,08:30,08:45,2,,36,2,5,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,012,08:45,09:00,1,,50,5,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,013,09:00,09:15,0,,41,3,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,014,09:15,09:30,0,,40,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,015,09:30,09:45,2,,57,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,016,09:45,10:00,1,,43,4,2,3,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,017,10:00,10:15,2,,45,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,018,10:15,10:30,2,,51,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,019,10:30,10:45,3,,56,4,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,020,10:45,11:00,1,,60,9,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,021,11:00,11:15,1,,53,4,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,022,11:15,11:30,0,,54,5,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,023,11:30,11:45,2,,0,51,1,3,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,024,11:45,12:00,1,,72,4,2,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,025,12:00,12:15,0,,44,0,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,026,12:15,12:30,3,,57,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,027,12:30,12:45,0,,68,0,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,028,12:45,13:00,0,,42,0,3,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,029,13:00,13:15,1,,48,6,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,030,13:15,13:30,3,,68,4,3,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,031,13:30,13:45,2,,60,8,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,032,13:45,14:00,2,,54,6,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,033,14:00,14:15,1,,57,4,1,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,034,14:15,14:30,1,,60,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,035,14:30,14:45,1,,65,5,1,3,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,036,14:45,15:00,0,,61,7,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,037,15:00,15:15,4,,72,4,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,038,15:15,15:30,0,,60,2,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,039,15:30,15:45,3,,74,4,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,040,15:45,16:00,0,,98,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,041,16:00,16:15,0,,98,3,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,042,16:15,16:30,4,,113,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,043,16:30,16:45,1,,111,6,1,3,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,044,16:45,17:00,4,,85,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,045,17:00,17:15,5,,103,5,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,046,17:15,17:30,4,,89,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,047,17:30,17:45,1,,112,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,048,17:45,18:00,2,,99,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,049,18:00,18:15,0,,76,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,050,18:15,18:30,0,,104,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,051,18:30,18:45,2,,90,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,052,18:45,19:00,1,,93,2,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,001,06:00,06:15,0,,15,1,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,002,06:15,06:30,3,,15,1,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,003,06:30,06:45,3,,26,0,1,0,0
