verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),001,06:00,06:15,0,,3,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),002,06:15,06:30,0,,1,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),003,06:30,06:45,0,,3,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),004,06:45,07:00,1,,4,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),005,07:00,07:15,2,,2,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),006,07:15,07:30,1,,3,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),007,07:30,07:45,0,,5,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),008,07:45,08:00,0,,4,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),009,08:00,08:15,0,,3,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),010,08:15,08:30,0,,2,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),011,08:30,08:45,0,,4,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),012,08:45,09:00,1,,5,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),013,09:00,09:15,0,,2,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),014,09:15,09:30,1,,3,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),015,09:30,09:45,2,,3,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),016,09:45,10:00,4,,3,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),017,10:00,10:15,1,,2,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),018,10:15,10:30,2,,2,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),019,10:30,10:45,0,,5,0,1,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),020,10:45,11:00,0,,2,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Friedhof (W),021,11:00,11:15,0,,7,0,0,0,0
