verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee,001,06:00,06:15,3,,40,5,2,0,3
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee,002,06:15,06:30,8,,60,0,0,0,3
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee,003,06:30,06:45,6,,76,2,1,0,5
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee,004,06:45,07:00,4,,80,1,1,3,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee,005,07:00,07:15,11,,84,5,3,1,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee,006,07:15,07:30,17,,107,4,2,1,6
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee,007,07:30,07:45,13,,127,8,1,0,6
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee,008,07:45,08:00,8,,106,4,0,1,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee,009,08:00,08:15,4,,88,5,2,0,5
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee,010,08:15,08:30,8,,77,3,5,0,3
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee,011,08:30,08:45,7,,71,6,0,0,5
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee,012,08:45,09:00,10,,91,6,0,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee,013,09:00,09:15,3,,75,4,4,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee,014,09:15,09:30,0,,86,6,1,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee,015,09:30,09:45,3,,108,7,5,0,5
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee,016,09:45,10:00,2,,74,9,0,0,2
