verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),001,06:00,06:15,,0,13,0,0,1,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),002,06:15,06:30,,1,21,1,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),003,06:30,06:45,,0,35,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),004,06:45,07:00,,0,26,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),005,07:00,07:15,,1,34,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),006,07:15,07:30,,0,43,2,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),007,07:30,07:45,,0,42,2,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),008,07:45,08:00,,0,37,2,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),009,08:00,08:15,,0,44,2,1,1,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),010,08:15,08:30,,1,32,1,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),011,08:30,08:45,,0,28,5,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),012,08:45,09:00,,0,49,1,2,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),013,09:00,09:15,,0,28,3,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),014,09:15,09:30,,0,40,2,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),015,09:30,09:45,,0,42,7,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),016,09:45,10:00,,0,35,3,2,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),017,10:00,10:15,,0,40,5,0,1,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),018,10:15,10:30,,1,20,0,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),019,10:30,10:45,,1,47,1,0,1,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),020,10:45,11:00,,0,28,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),021,11:00,11:15,,0,34,2,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),022,11:15,11:30,,0,22,2,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),023,11:30,11:45,,0,28,2,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),024,11:45,12:00,,1,34,5,2,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),025,12:00,12:15,,0,43,5,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),026,12:15,12:30,,0,44,2,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),027,12:30,12:45,,0,37,5,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),028,12:45,13:00,,0,35,0,2,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),029,13:00,13:15,,1,42,3,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),030,13:15,13:30,,1,43,4,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),031,13:30,13:45,,0,42,3,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),032,13:45,14:00,,1,23,4,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),033,14:00,14:15,,1,51,3,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),034,14:15,14:30,,0,42,0,2,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),035,14:30,14:45,,0,39,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),036,14:45,15:00,,0,41,4,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),037,15:00,15:15,,0,59,4,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),038,15:15,15:30,,0,43,3,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),039,15:30,15:45,,0,57,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),040,15:45,16:00,,2,42,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),041,16:00,16:15,,0,51,1,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),042,16:15,16:30,,2,60,4,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),043,16:30,16:45,,1,35,1,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),044,16:45,17:00,,0,46,4,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),045,17:00,17:15,,2,43,1,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),046,17:15,17:30,,0,60,2,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Straße (SW),047,17:30,17:45,,0,45,2,0,0,0
