verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,001,05:00,05:15,0,,0,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,002,05:15,05:30,0,,0,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,003,05:30,05:45,0,,0,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,004,05:45,06:00,0,,0,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,005,06:00,06:15,0,,3,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,006,06:15,06:30,0,,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,007,06:30,06:45,0,,0,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,008,06:45,07:00,0,,1,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,009,07:00,07:15,1,,1,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,010,07:15,07:30,0,,4,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,011,07:30,07:45,0,,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,012,07:45,08:00,0,,2,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,013,08:00,08:15,0,,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,014,08:15,08:30,0,,0,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,015,08:30,08:45,0,,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,016,08:45,09:00,0,,3,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,017,09:00,09:15,0,,1,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,018,09:15,09:30,0,,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,019,09:30,09:45,0,,2,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,020,09:45,10:00,0,,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,021,10:00,10:15,0,,7,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,022,10:15,10:30,0,,4,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,023,10:30,10:45,0,,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,024,10:45,11:00,0,,5,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,025,11:00,11:15,0,,3,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,026,11:15,11:30,0,,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,027,11:30,11:45,0,,5,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,028,11:45,12:00,0,,4,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,029,12:00,12:15,0,,4,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,030,12:15,12:30,0,,5,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,031,12:30,12:45,0,,2,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,032,12:45,13:00,0,,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,033,13:00,13:15,0,,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,RechtsabbiegerGeißlerstr. a.R. West,034,13:15,13:30,0,,3,,0,0,0
