verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),001,06:00,06:15,0,0,4,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),002,06:15,06:30,0,0,6,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),003,06:30,06:45,0,0,9,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),004,06:45,07:00,0,0,15,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),005,07:00,07:15,0,0,13,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),006,07:15,07:30,0,0,6,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),007,07:30,07:45,1,0,16,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),008,07:45,08:00,0,0,11,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),009,08:00,08:15,2,0,11,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),010,08:15,08:30,0,0,13,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),011,08:30,08:45,1,0,13,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),012,08:45,09:00,1,0,13,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),013,09:00,09:15,0,0,13,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),014,09:15,09:30,1,0,15,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),015,09:30,09:45,0,0,9,,1,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),016,09:45,10:00,2,0,7,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),017,10:00,10:15,0,0,9,,1,0,1
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),018,10:15,10:30,2,0,14,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),019,10:30,10:45,0,0,11,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),020,10:45,11:00,0,0,13,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),021,11:00,11:15,1,0,13,,1,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),022,11:15,11:30,1,0,13,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),023,11:30,11:45,3,0,17,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),024,11:45,12:00,0,0,14,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),025,12:00,12:15,1,0,12,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),026,12:15,12:30,1,1,12,,1,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),027,12:30,12:45,0,0,11,,1,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),028,12:45,13:00,0,0,11,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),029,13:00,13:15,0,0,9,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),030,13:15,13:30,0,0,12,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),031,13:30,13:45,2,0,14,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),032,13:45,14:00,0,0,14,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),033,14:00,14:15,0,1,13,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),034,14:15,14:30,1,0,16,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),035,14:30,14:45,0,0,11,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),036,14:45,15:00,1,0,15,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),037,15:00,15:15,1,1,16,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),038,15:15,15:30,1,0,17,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),039,15:30,15:45,0,0,10,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),040,15:45,16:00,1,0,10,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),041,16:00,16:15,0,1,14,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),042,16:15,16:30,0,0,18,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),043,16:30,16:45,0,0,23,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),044,16:45,17:00,0,0,29,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),045,17:00,17:15,0,0,8,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),046,17:15,17:30,0,0,17,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),047,17:30,17:45,1,0,15,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),048,17:45,18:00,0,0,18,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),049,18:00,18:15,1,0,22,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),050,18:15,18:30,0,0,12,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),051,18:30,18:45,1,1,17,,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Willy-Brandt-Platz (vom Parkplatz),052,18:45,19:00,1,0,18,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,001,06:00,06:15,1,0,0,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,002,06:15,06:30,9,0,0,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,003,06:30,06:45,5,0,2,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,004,06:45,07:00,8,0,2,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,005,07:00,07:15,3,0,1,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,006,07:15,07:30,16,0,3,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,007,07:30,07:45,11,0,1,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,008,07:45,08:00,10,0,0,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,009,08:00,08:15,12,0,5,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,010,08:15,08:30,8,0,4,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,011,08:30,08:45,4,0,6,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,012,08:45,09:00,8,0,4,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,013,09:00,09:15,7,0,6,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,014,09:15,09:30,7,0,2,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,015,09:30,09:45,9,0,9,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,016,09:45,10:00,5,0,3,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,017,10:00,10:15,5,0,6,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,018,10:15,10:30,5,0,9,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,019,10:30,10:45,4,0,11,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,020,10:45,11:00,17,0,3,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,021,11:00,11:15,8,1,11,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,022,11:15,11:30,4,0,11,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,023,11:30,11:45,8,0,11,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,024,11:45,12:00,9,0,6,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,025,12:00,12:15,7,1,9,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,026,12:15,12:30,3,0,5,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,027,12:30,12:45,1,1,13,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,028,12:45,13:00,2,2,1,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,029,13:00,13:15,3,0,12,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,030,13:15,13:30,0,0,7,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,031,13:30,13:45,0,0,9,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,032,13:45,14:00,8,0,4,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,033,14:00,14:15,4,0,4,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,034,14:15,14:30,6,0,9,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,035,14:30,14:45,10,0,8,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,036,14:45,15:00,4,0,12,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,037,15:00,15:15,5,0,14,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,038,15:15,15:30,12,0,21,,1,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,039,15:30,15:45,8,0,25,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,040,15:45,16:00,4,0,17,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,041,16:00,16:15,5,0,29,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,042,16:15,16:30,11,0,25,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,043,16:30,16:45,15,0,23,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,044,16:45,17:00,8,1,13,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,045,17:00,17:15,9,0,30,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,046,17:15,17:30,10,1,13,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,047,17:30,17:45,11,0,11,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,048,17:45,18:00,9,1,12,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,049,18:00,18:15,15,0,19,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,050,18:15,18:30,3,0,13,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,051,18:30,18:45,8,1,7,,0,0,0
2,B,2,1,BG...(5),Zählstrom,,Geradeausfahrer Willy-Brandt-Platz,052,18:45,19:00,7,0,11,,0,0,0
3,B,2,2,BL...(6),Zählstrom,,LInksabbieger Willy-Brandt-Platz,001,06:00,06:15,0,0,0,,0,0,0
3,B,2,2,BL...(6),Zählstrom,,LInksabbieger Willy-Brandt-Platz,002,06:15,06:30,1,0,2,,0,0,0
3,B,2,2,BL...(6),Zählstrom,,LInksabbieger Willy-Brandt-Platz,003,06:30,06:45,1,0,1,,1,0,0
3,B,2,2,BL...(6),Zählstrom,,LInksabbieger Willy-Brandt-Platz,004,06:45,07:00,4,0,0,,0,0,0
3,B,2,2,BL...(6),Zählstrom,,LInksabbieger Willy-Brandt-Platz,005,07:00,07:15,4,0,2,,0,0,0
3,B,2,2,BL...(6),Zählstrom,,LInksabbieger Willy-Brandt-Platz,006,07:15,07:30,3,0,3,,0,0,0
3,B,2,2,BL...(6),Zählstrom,,LInksabbieger Willy-Brandt-Platz,007,07:30,07:45,3,0,3,,0,0,0
3,B,2,2,BL...(6),Zählstrom,,LInksabbieger Willy-Brandt-Platz,008,07:45,08:00,4,0,4,,0,0,0
