verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,001,06:00,06:15,0,0,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,002,06:15,06:30,0,0,3,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,003,06:30,06:45,0,0,7,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,004,06:45,07:00,0,0,8,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,005,07:00,07:15,0,0,13,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,006,07:15,07:30,0,0,14,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,007,07:30,07:45,0,0,21,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,008,07:45,08:00,0,0,14,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,009,08:00,08:15,0,1,9,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,010,08:15,08:30,2,0,11,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,011,08:30,08:45,0,0,15,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,012,08:45,09:00,1,0,26,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,013,09:00,09:15,1,0,24,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,014,09:15,09:30,0,0,19,,4,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,015,09:30,09:45,3,0,18,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,016,09:45,10:00,1,0,11,,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,017,10:00,10:15,1,0,17,,2,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,018,10:15,10:30,0,0,25,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,019,10:30,10:45,0,0,16,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,020,10:45,11:00,0,0,16,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,021,11:00,11:15,0,0,26,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,022,11:15,11:30,1,0,21,,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,023,11:30,11:45,2,0,34,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,024,11:45,12:00,0,0,22,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,025,12:00,12:15,1,0,27,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,026,12:15,12:30,1,0,31,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,027,12:30,12:45,1,0,38,,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,028,12:45,13:00,3,0,24,,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,029,13:00,13:15,0,0,42,,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,030,13:15,13:30,0,0,28,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,031,13:30,13:45,0,0,21,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,032,13:45,14:00,0,0,34,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,033,14:00,14:15,0,0,29,,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,034,14:15,14:30,1,0,21,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,035,14:30,14:45,0,0,31,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,036,14:45,15:00,1,0,34,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,037,15:00,15:15,2,0,39,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,038,15:15,15:30,1,0,34,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,039,15:30,15:45,1,0,48,,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,040,15:45,16:00,0,0,29,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,041,16:00,16:15,2,0,44,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,042,16:15,16:30,1,0,44,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,043,16:30,16:45,1,0,44,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,044,16:45,17:00,1,0,43,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,045,17:00,17:15,0,0,47,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,046,17:15,17:30,0,0,45,,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,047,17:30,17:45,2,0,31,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,048,17:45,18:00,0,0,30,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,049,18:00,18:15,0,0,32,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,050,18:15,18:30,1,0,26,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,051,18:30,18:45,0,0,23,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-Bremer-Straße,052,18:45,19:00,0,0,24,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger J.-Bremer-Straße,001,06:00,06:15,1,0,7,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger J.-Bremer-Straße,002,06:15,06:30,1,0,4,,0,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger J.-Bremer-Straße,003,06:30,06:45,4,0,5,,1,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger J.-Bremer-Straße,004,06:45,07:00,0,0,6,,0,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger J.-Bremer-Straße,005,07:00,07:15,1,0,5,,0,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger J.-Bremer-Straße,006,07:15,07:30,4,0,8,,2,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger J.-Bremer-Straße,007,07:30,07:45,2,1,12,,1,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger J.-Bremer-Straße,008,07:45,08:00,3,0,9,,2,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger J.-Bremer-Straße,009,08:00,08:15,1,0,7,,1,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger J.-Bremer-Straße,010,08:15,08:30,2,0,10,,0,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger J.-Bremer-Straße,011,08:30,08:45,1,0,5,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger J.-Bremer-Straße,012,08:45,09:00,5,1,4,,1,1,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger J.-Bremer-Straße,013,09:00,09:15,1,0,8,,1,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger J.-Bremer-Straße,014,09:15,09:30,0,0,5,,2,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger J.-Bremer-Straße,015,09:30,09:45,1,0,10,,3,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger J.-Bremer-Straße,016,09:45,10:00,0,0,12,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger J.-Bremer-Straße,017,10:00,10:15,1,0,12,,0,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger J.-Bremer-Straße,018,10:15,10:30,2,0,14,,1,0,1
