verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Jerichower Straße(West),001,06:00,06:15,,0,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Jerichower Straße(West),002,06:15,06:30,,0,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Jerichower Straße(West),003,06:30,06:45,,0,12,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Jerichower Straße(West),004,06:45,07:00,,0,13,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Jerichower Straße(West),005,07:00,07:15,,0,1,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Jerichower Straße(West),006,07:15,07:30,,0,11,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Jerichower Straße(West),007,07:30,07:45,,0,7,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Jerichower Straße(West),008,07:45,08:00,,0,12,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Jerichower Straße(West),009,08:00,08:15,,1,5,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Jerichower Straße(West),010,08:15,08:30,,0,6,1,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Jerichower Straße(West),011,08:30,08:45,,0,5,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Jerichower Straße(West),012,08:45,09:00,,0,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Jerichower Straße(West),013,09:00,09:15,,0,6,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Jerichower Straße(West),014,09:15,09:30,,0,0,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Jerichower Straße(West),015,09:30,09:45,,0,10,0,0,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Jerichower Straße(West),016,09:45,10:00,,0,5,2,0,0,1
