verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,001,06:00,06:15,0,0,69,,0,0,0
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,002,06:15,06:30,0,1,148,,1,0,3
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,003,06:30,06:45,0,1,146,,1,0,4
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,004,06:45,07:00,0,2,148,,0,1,0
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,005,07:00,07:15,0,0,122,,0,0,3
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,006,07:15,07:30,0,0,169,,2,1,4
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,007,07:30,07:45,0,0,141,,2,0,4
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,008,07:45,08:00,0,0,111,,3,0,1
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,009,08:00,08:15,0,1,110,,2,0,3
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,010,08:15,08:30,0,2,109,,1,1,1
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,011,08:30,08:45,0,3,111,,0,1,3
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,012,08:45,09:00,0,0,104,,0,0,0
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,013,09:00,09:15,0,0,118,,2,0,1
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,014,09:15,09:30,0,0,111,,0,0,6
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,015,09:30,09:45,2,0,122,,1,0,5
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,016,09:45,10:00,0,1,114,,0,0,2
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,017,10:00,10:15,0,0,111,,1,0,3
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,018,10:15,10:30,1,1,107,,2,1,3
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,019,10:30,10:45,3,0,98,,2,1,3
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,020,10:45,11:00,0,0,104,,0,0,1
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,021,11:00,11:15,2,2,114,,0,0,4
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,022,11:15,11:30,0,0,98,,1,0,4
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,023,11:30,11:45,0,1,109,,0,0,3
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,024,11:45,12:00,1,0,100,,3,0,1
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,025,12:00,12:15,0,0,79,,0,0,1
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,026,12:15,12:30,1,1,85,,2,1,7
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,027,12:30,12:45,2,1,107,,1,1,5
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,028,12:45,13:00,0,0,84,,0,0,0
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,029,13:00,13:15,0,1,113,,3,2,2
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,030,13:15,13:30,0,0,102,,2,0,4
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,031,13:30,13:45,0,1,90,,1,0,1
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,032,13:45,14:00,0,0,90,,0,0,3
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,033,14:00,14:15,0,0,100,,0,0,3
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,034,14:15,14:30,0,0,101,,3,0,2
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,035,14:30,14:45,0,0,117,,3,0,2
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,036,14:45,15:00,0,2,134,,1,0,2
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,037,15:00,15:15,0,4,87,,0,0,2
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,038,15:15,15:30,0,0,129,,1,0,7
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,039,15:30,15:45,0,0,139,,2,0,6
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,040,15:45,16:00,0,0,120,,0,0,2
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,041,16:00,16:15,1,0,124,,2,0,1
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,042,16:15,16:30,2,3,121,,0,0,7
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,043,16:30,16:45,5,0,122,,0,0,3
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,044,16:45,17:00,0,1,132,,0,0,2
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,045,17:00,17:15,3,2,128,,0,0,2
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,046,17:15,17:30,1,0,120,,0,0,4
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,047,17:30,17:45,1,0,117,,0,0,5
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,048,17:45,18:00,1,0,82,,1,0,2
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,049,18:00,18:15,3,0,121,,0,0,2
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,050,18:15,18:30,3,0,118,,0,0,3
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,051,18:30,18:45,3,1,138,,0,0,2
16,,0,0,Summe Zu,summierter Strom,3+8+13,QA1 + QC1 + QD1,052,18:45,19:00,2,2,157,,2,0,1
