verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),001,06:00,06:15,0,0,13,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),002,06:15,06:30,0,0,16,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),003,06:30,06:45,0,1,12,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),004,06:45,07:00,0,1,34,,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),005,07:00,07:15,0,0,18,,2,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),006,07:15,07:30,0,0,10,,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),007,07:30,07:45,0,0,23,,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),008,07:45,08:00,0,0,25,,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),009,08:00,08:15,0,0,21,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),010,08:15,08:30,0,0,16,,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),011,08:30,08:45,0,0,11,,0,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),012,08:45,09:00,1,0,26,,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),013,09:00,09:15,1,0,27,,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),014,09:15,09:30,0,0,13,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),015,09:30,09:45,0,0,21,,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),016,09:45,10:00,0,0,24,,0,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),017,10:00,10:15,0,0,24,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),018,10:15,10:30,0,0,24,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),019,10:30,10:45,0,0,17,,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),020,10:45,11:00,0,0,20,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),021,11:00,11:15,0,0,27,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),022,11:15,11:30,0,0,32,,0,2,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),023,11:30,11:45,0,0,29,,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),024,11:45,12:00,1,0,29,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),025,12:00,12:15,0,0,29,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),026,12:15,12:30,0,0,32,,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),027,12:30,12:45,0,0,31,,0,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),028,12:45,13:00,1,0,23,,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),029,13:00,13:15,1,1,41,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),030,13:15,13:30,1,0,42,,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),031,13:30,13:45,0,1,31,,1,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),032,13:45,14:00,0,0,37,,4,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),033,14:00,14:15,0,0,34,,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),034,14:15,14:30,1,1,44,,2,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),035,14:30,14:45,0,0,34,,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer NiederndodeleberStraße (West),036,14:45,15:00,0,1,54,,1,0,0
