verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),001,06:00,06:15,0,,10,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),002,06:15,06:30,1,,11,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),003,06:30,06:45,0,,15,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),004,06:45,07:00,1,,22,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),005,07:00,07:15,1,,25,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),006,07:15,07:30,0,,41,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),007,07:30,07:45,1,,25,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),008,07:45,08:00,1,,24,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),009,08:00,08:15,0,,11,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),010,08:15,08:30,1,,16,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),011,08:30,08:45,1,,12,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),012,08:45,09:00,0,,19,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),013,09:00,09:15,0,,13,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),014,09:15,09:30,1,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),015,09:30,09:45,1,,10,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),016,09:45,10:00,1,,13,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),017,10:00,10:15,3,,15,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),018,10:15,10:30,1,,20,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),019,10:30,10:45,6,,7,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),020,10:45,11:00,2,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),021,11:00,11:15,2,,15,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),022,11:15,11:30,1,,10,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Olvenstedter Graseweg (W),023,11:30,11:45,3,,13,1,0,0,0
