verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,001,06:00,06:15,2,2,15,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,002,06:15,06:30,2,0,32,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,003,06:30,06:45,4,0,20,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,004,06:45,07:00,0,0,16,,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,005,07:00,07:15,0,0,21,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,006,07:15,07:30,0,0,23,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,007,07:30,07:45,0,1,31,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,008,07:45,08:00,2,0,19,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,009,08:00,08:15,0,2,6,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,010,08:15,08:30,1,1,10,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,011,08:30,08:45,0,0,17,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,012,08:45,09:00,0,2,6,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,013,09:00,09:15,1,1,13,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,014,09:15,09:30,0,0,3,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,015,09:30,09:45,1,0,13,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,016,09:45,10:00,0,0,11,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,017,10:00,10:15,2,2,12,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,018,10:15,10:30,1,1,22,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,019,10:30,10:45,4,1,16,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,020,10:45,11:00,2,1,13,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,021,11:00,11:15,1,0,12,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,022,11:15,11:30,1,1,11,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,023,11:30,11:45,0,3,15,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,024,11:45,12:00,1,0,18,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,025,12:00,12:15,2,1,12,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausspur Oebisfelder Straßei. R. Industriehafen,026,12:15,12:30,2,0,14,,0,0,0
