verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),001,06:00,06:15,0,2,59,,4,7,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),002,06:15,06:30,0,0,87,,5,2,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),003,06:30,06:45,0,1,101,,6,4,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),004,06:45,07:00,1,0,134,,3,6,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),005,07:00,07:15,1,1,148,,3,5,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),006,07:15,07:30,1,2,133,,8,8,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),007,07:30,07:45,0,0,114,,6,5,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),008,07:45,08:00,0,0,126,,3,14,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),009,08:00,08:15,0,0,84,,6,13,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),010,08:15,08:30,0,0,79,,4,10,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),011,08:30,08:45,0,2,84,,2,6,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),012,08:45,09:00,0,0,114,,7,6,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),013,09:00,09:15,0,1,102,,5,10,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),014,09:15,09:30,0,0,114,,8,5,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),015,09:30,09:45,1,0,114,,5,9,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),016,09:45,10:00,0,0,123,,7,12,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),017,10:00,10:15,0,0,113,,8,13,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),018,10:15,10:30,1,0,94,,4,8,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),019,10:30,10:45,1,1,116,,2,4,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),020,10:45,11:00,1,0,106,,1,6,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),021,11:00,11:15,2,0,100,,3,8,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),022,11:15,11:30,0,1,111,,7,6,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),023,11:30,11:45,0,1,101,,7,8,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),024,11:45,12:00,0,0,85,,4,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),025,12:00,12:15,0,1,116,,2,5,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),026,12:15,12:30,0,1,93,,4,5,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),027,12:30,12:45,0,1,119,,4,8,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),028,12:45,13:00,0,0,115,,8,12,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),029,13:00,13:15,1,1,119,,4,10,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),030,13:15,13:30,0,0,110,,3,7,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),031,13:30,13:45,0,0,104,,6,6,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),032,13:45,14:00,0,2,96,,7,9,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),033,14:00,14:15,0,1,102,,4,4,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),034,14:15,14:30,0,2,117,,2,9,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),035,14:30,14:45,0,0,146,,6,6,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),036,14:45,15:00,1,2,161,,3,9,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),037,15:00,15:15,2,1,165,,4,10,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),038,15:15,15:30,0,0,169,,4,9,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),039,15:30,15:45,1,0,143,,4,4,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),040,15:45,16:00,0,2,161,,3,6,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),041,16:00,16:15,1,1,150,,3,3,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),042,16:15,16:30,1,0,169,,3,2,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),043,16:30,16:45,0,0,143,,1,2,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),044,16:45,17:00,2,0,167,,2,3,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),045,17:00,17:15,0,1,150,,4,3,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),046,17:15,17:30,0,0,138,,2,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),047,17:30,17:45,3,0,137,,1,3,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),048,17:45,18:00,1,1,127,,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),049,18:00,18:15,0,0,110,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),050,18:15,18:30,0,0,104,,0,4,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),051,18:30,18:45,2,0,93,,1,4,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Salbker Chaussee(West),052,18:45,19:00,1,0,87,,2,4,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),001,06:00,06:15,0,0,0,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),002,06:15,06:30,0,0,1,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),003,06:30,06:45,0,0,0,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),004,06:45,07:00,0,0,0,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),005,07:00,07:15,0,0,1,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),006,07:15,07:30,0,0,3,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),007,07:30,07:45,0,0,2,,1,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),008,07:45,08:00,0,0,0,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),009,08:00,08:15,0,0,2,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),010,08:15,08:30,0,0,4,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),011,08:30,08:45,0,0,2,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),012,08:45,09:00,0,0,5,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),013,09:00,09:15,0,0,8,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),014,09:15,09:30,1,0,14,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),015,09:30,09:45,0,0,7,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),016,09:45,10:00,0,0,24,,1,1,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),017,10:00,10:15,0,0,14,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),018,10:15,10:30,0,0,12,,1,1,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),019,10:30,10:45,0,0,15,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),020,10:45,11:00,0,0,16,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),021,11:00,11:15,0,0,17,,2,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),022,11:15,11:30,0,0,14,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),023,11:30,11:45,0,0,15,,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),024,11:45,12:00,0,0,14,,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),025,12:00,12:15,0,0,13,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),026,12:15,12:30,0,0,11,,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),027,12:30,12:45,0,0,18,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),028,12:45,13:00,0,0,11,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),029,13:00,13:15,0,0,16,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),030,13:15,13:30,0,0,16,,0,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),031,13:30,13:45,0,0,19,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),032,13:45,14:00,0,0,9,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),033,14:00,14:15,0,0,15,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),034,14:15,14:30,0,0,8,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),035,14:30,14:45,0,0,27,,0,2,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),036,14:45,15:00,0,0,12,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),037,15:00,15:15,0,0,17,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),038,15:15,15:30,0,0,7,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),039,15:30,15:45,0,0,3,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),040,15:45,16:00,0,0,3,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),041,16:00,16:15,0,0,12,,0,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),042,16:15,16:30,0,0,28,,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Salbker Chaussee (West),043,16:30,16:45,0,0,17,,0,0,0
