verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,001,05:00,05:15,0,1,2,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,002,05:15,05:30,0,0,5,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,003,05:30,05:45,1,0,8,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,004,05:45,06:00,0,0,4,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,005,06:00,06:15,0,0,5,,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,006,06:15,06:30,1,0,14,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,007,06:30,06:45,0,1,12,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,008,06:45,07:00,0,0,21,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,009,07:00,07:15,0,0,30,,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,010,07:15,07:30,0,0,41,,2,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,011,07:30,07:45,0,0,26,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,012,07:45,08:00,0,0,18,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,013,08:00,08:15,0,0,14,,2,2,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,014,08:15,08:30,0,0,10,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,015,08:30,08:45,0,0,17,,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,016,08:45,09:00,0,1,13,,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,017,09:00,09:15,0,0,2,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,018,09:15,09:30,2,0,15,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,019,09:30,09:45,0,0,21,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,020,09:45,10:00,2,0,13,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,021,10:00,10:15,0,0,15,,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,022,10:15,10:30,0,0,13,,3,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,023,10:30,10:45,0,0,19,,3,2,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,024,10:45,11:00,0,0,10,,3,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,025,11:00,11:15,1,0,19,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,026,11:15,11:30,1,1,17,,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,027,11:30,11:45,0,1,15,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,028,11:45,12:00,0,0,13,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,029,12:00,12:15,0,0,12,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,030,12:15,12:30,1,0,10,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,031,12:30,12:45,1,0,12,,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,032,12:45,13:00,0,0,15,,2,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,033,13:00,13:15,0,0,14,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,034,13:15,13:30,0,0,21,,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,035,13:30,13:45,2,0,11,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,036,13:45,14:00,0,0,18,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,037,14:00,14:15,0,0,21,,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,038,14:15,14:30,0,0,24,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,039,14:30,14:45,0,0,20,,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,040,14:45,15:00,1,0,13,,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,041,15:00,15:15,1,0,24,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straßea. R. SW,042,15:15,15:30,0,1,20,,1,1,0
