verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,001,06:00,06:15,4,,10,3,0,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,002,06:15,06:30,5,,22,2,1,0,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,003,06:30,06:45,9,,24,0,3,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,004,06:45,07:00,7,,16,4,1,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,005,07:00,07:15,16,,16,2,0,1,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,006,07:15,07:30,17,,37,4,1,0,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,007,07:30,07:45,14,,45,4,0,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,008,07:45,08:00,17,,36,5,0,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,009,08:00,08:15,5,,24,4,1,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,010,08:15,08:30,11,,27,1,1,2,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,011,08:30,08:45,16,,33,1,1,3,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,012,08:45,09:00,9,,28,0,0,1,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,013,09:00,09:15,11,,25,3,2,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,014,09:15,09:30,7,,32,3,2,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,015,09:30,09:45,5,,29,1,1,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,016,09:45,10:00,6,,34,2,2,1,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,017,10:00,10:15,7,,28,0,0,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,018,10:15,10:30,4,,30,0,0,1,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,019,10:30,10:45,3,,31,2,1,0,2
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,020,10:45,11:00,4,,26,0,0,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,021,11:00,11:15,1,,25,8,1,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,022,11:15,11:30,4,,41,1,1,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,023,11:30,11:45,8,,21,1,2,1,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,024,11:45,12:00,3,,21,1,0,1,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,025,12:00,12:15,2,,31,3,2,2,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,026,12:15,12:30,4,,30,2,1,1,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,027,12:30,12:45,2,,25,2,0,1,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,028,12:45,13:00,9,,21,2,0,2,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,029,13:00,13:15,3,,34,2,1,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,030,13:15,13:30,6,,36,0,1,1,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,031,13:30,13:45,13,,32,2,0,0,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,032,13:45,14:00,7,,31,2,0,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,033,14:00,14:15,7,,34,3,0,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,034,14:15,14:30,8,,43,0,1,0,2
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,035,14:30,14:45,8,,47,4,1,0,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,036,14:45,15:00,5,,56,3,2,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,037,15:00,15:15,6,,52,2,1,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,038,15:15,15:30,4,,50,2,0,1,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,039,15:30,15:45,5,,56,1,0,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,040,15:45,16:00,9,,69,1,0,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,041,16:00,16:15,6,,73,3,1,1,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,042,16:15,16:30,10,,60,1,0,0,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,043,16:30,16:45,12,,71,8,0,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,044,16:45,17:00,7,,59,1,0,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,045,17:00,17:15,8,,56,1,1,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,046,17:15,17:30,10,,60,2,1,1,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,047,17:30,17:45,16,,41,1,0,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,048,17:45,18:00,9,,38,1,0,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,049,18:00,18:15,6,,39,1,2,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,050,18:15,18:30,7,,54,1,0,0,2
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,051,18:30,18:45,5,,35,0,0,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (O) a. R. Uniplatz,052,18:45,19:00,9,,25,1,1,0,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,001,06:00,06:15,0,,147,6,4,12,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,002,06:15,06:30,0,,230,9,9,11,1
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,003,06:30,06:45,0,,251,22,5,11,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,004,06:45,07:00,0,,223,19,8,5,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,005,07:00,07:15,0,,216,15,3,12,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,006,07:15,07:30,0,,234,18,6,6,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,007,07:30,07:45,0,,208,10,8,4,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,008,07:45,08:00,0,,200,10,3,9,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,009,08:00,08:15,0,,190,11,4,11,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,010,08:15,08:30,0,,206,17,6,6,1
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,011,08:30,08:45,0,,198,13,10,13,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,012,08:45,09:00,0,,167,12,6,6,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,013,09:00,09:15,0,,103,7,6,12,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,014,09:15,09:30,0,,143,13,3,13,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,015,09:30,09:45,0,,162,13,5,8,1
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,016,09:45,10:00,0,,180,11,5,13,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,017,10:00,10:15,0,,128,8,4,8,1
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,018,10:15,10:30,0,,131,11,16,6,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,019,10:30,10:45,0,,168,16,5,6,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,020,10:45,11:00,0,,139,13,4,3,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,021,11:00,11:15,0,,144,9,6,6,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,022,11:15,11:30,0,,112,14,5,7,1
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,023,11:30,11:45,0,,128,21,4,12,1
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,024,11:45,12:00,0,,120,13,5,9,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,025,12:00,12:15,0,,116,7,7,15,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,026,12:15,12:30,0,,127,3,3,11,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,027,12:30,12:45,0,,136,9,3,9,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,028,12:45,13:00,0,,123,7,3,9,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,029,13:00,13:15,0,,143,18,6,13,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,030,13:15,13:30,0,,164,13,11,11,1
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,031,13:30,13:45,0,,150,11,7,11,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,032,13:45,14:00,0,,112,10,8,7,2
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,033,14:00,14:15,0,,138,17,7,12,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,034,14:15,14:30,0,,165,19,5,11,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,035,14:30,14:45,0,,199,17,8,8,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,036,14:45,15:00,0,,185,16,11,5,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,037,15:00,15:15,0,,119,13,4,8,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,038,15:15,15:30,0,,157,14,5,3,1
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,039,15:30,15:45,0,,194,11,6,2,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,040,15:45,16:00,0,,184,13,7,7,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,041,16:00,16:15,0,,261,23,9,9,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,042,16:15,16:30,0,,238,19,5,5,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,043,16:30,16:45,0,,215,10,2,7,1
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,044,16:45,17:00,0,,215,12,1,5,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,045,17:00,17:15,0,,223,13,0,3,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,046,17:15,17:30,0,,234,13,1,9,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,047,17:30,17:45,0,,226,4,3,5,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,048,17:45,18:00,0,,198,6,0,2,1
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,049,18:00,18:15,0,,211,9,0,5,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,050,18:15,18:30,0,,178,5,0,6,0
2,A,2,1,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (O) a. R. Tunnel,051,18:30,18:45,0,,144,5,0,4,2
