verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,001,06:00,06:15,10,,35,0,2,0,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,002,06:15,06:30,4,,42,0,0,0,2
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,003,06:30,06:45,18,,68,5,1,1,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,004,06:45,07:00,13,,58,3,1,0,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,005,07:00,07:15,13,,61,2,0,0,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,006,07:15,07:30,26,,90,9,3,3,3
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,007,07:30,07:45,16,,124,7,1,1,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,008,07:45,08:00,19,,86,8,0,0,2
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,009,08:00,08:15,13,,80,3,1,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,010,08:15,08:30,20,,79,6,0,2,5
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,011,08:30,08:45,30,,75,5,0,1,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,012,08:45,09:00,21,,61,11,1,2,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,013,09:00,09:15,12,,71,2,4,0,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,014,09:15,09:30,14,,55,5,1,1,3
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,015,09:30,09:45,8,,75,8,2,3,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,016,09:45,10:00,10,,68,7,0,1,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,017,10:00,10:15,13,,48,3,1,1,2
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,018,10:15,10:30,9,,58,2,1,0,4
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,019,10:30,10:45,10,,58,4,4,0,2
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,020,10:45,11:00,6,,53,6,2,0,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,021,11:00,11:15,7,,55,3,2,1,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,022,11:15,11:30,9,,59,8,1,0,2
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,023,11:30,11:45,8,,53,4,2,0,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,024,11:45,12:00,7,,47,3,2,0,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,025,12:00,12:15,7,,56,3,1,0,2
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,026,12:15,12:30,13,,56,3,4,0,3
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,027,12:30,12:45,12,,59,4,2,0,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,028,12:45,13:00,10,,69,2,1,0,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,029,13:00,13:15,11,,61,4,3,0,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,030,13:15,13:30,14,,46,5,0,0,6
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,031,13:30,13:45,19,,63,9,1,0,4
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,032,13:45,14:00,7,,41,4,2,2,2
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,033,14:00,14:15,9,,56,5,0,2,0
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,034,14:15,14:30,22,,72,3,0,1,4
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,035,14:30,14:45,17,,84,6,3,0,2
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,036,14:45,15:00,18,,75,3,3,1,1
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,037,15:00,15:15,11,,66,3,1,0,2
1,A,1,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (West) i. R. Uniplatz,038,15:15,15:30,12,,74,4,1,1,3
