verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,001,06:00,06:15,2,,1,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,002,06:15,06:30,2,,0,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,003,06:30,06:45,1,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,004,06:45,07:00,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,005,07:00,07:15,3,,5,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,006,07:15,07:30,0,,1,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,007,07:30,07:45,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,008,07:45,08:00,0,,2,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,009,08:00,08:15,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,010,08:15,08:30,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,011,08:30,08:45,0,,0,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,012,08:45,09:00,1,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,013,09:00,09:15,1,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,014,09:15,09:30,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,015,09:30,09:45,1,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,016,09:45,10:00,0,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,017,10:00,10:15,0,,3,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,018,10:15,10:30,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,019,10:30,10:45,0,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,020,10:45,11:00,0,,0,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,021,11:00,11:15,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,022,11:15,11:30,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,023,11:30,11:45,0,,3,0,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,024,11:45,12:00,0,,0,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,025,12:00,12:15,0,,0,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,026,12:15,12:30,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,027,12:30,12:45,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,028,12:45,13:00,0,,0,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,029,13:00,13:15,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,030,13:15,13:30,0,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,031,13:30,13:45,0,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,032,13:45,14:00,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,033,14:00,14:15,0,,0,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,034,14:15,14:30,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,035,14:30,14:45,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,036,14:45,15:00,1,,2,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,037,15:00,15:15,0,,3,1,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Buschfeldstraße,038,15:15,15:30,0,,2,0,0,0,0
