verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,0,0,AR...(1),summierter Strom,17+18,AR1 + AR2,001,06:00,06:15,0,0,5,,0,0,0
1,A,0,0,AR...(1),summierter Strom,17+18,AR1 + AR2,002,06:15,06:30,0,0,8,,0,0,0
1,A,0,0,AR...(1),summierter Strom,17+18,AR1 + AR2,003,06:30,06:45,0,0,3,,0,0,0
1,A,0,0,AR...(1),summierter Strom,17+18,AR1 + AR2,004,06:45,07:00,0,0,3,,0,1,0
1,A,0,0,AR...(1),summierter Strom,17+18,AR1 + AR2,005,07:00,07:15,0,0,2,,0,0,0
1,A,0,0,AR...(1),summierter Strom,17+18,AR1 + AR2,006,07:15,07:30,0,0,4,,0,0,0
1,A,0,0,AR...(1),summierter Strom,17+18,AR1 + AR2,007,07:30,07:45,1,0,4,,0,0,0
1,A,0,0,AR...(1),summierter Strom,17+18,AR1 + AR2,008,07:45,08:00,1,0,4,,0,0,0
1,A,0,0,AR...(1),summierter Strom,17+18,AR1 + AR2,009,08:00,08:15,0,0,0,,0,0,0
1,A,0,0,AR...(1),summierter Strom,17+18,AR1 + AR2,010,08:15,08:30,0,0,4,,0,0,0
1,A,0,0,AR...(1),summierter Strom,17+18,AR1 + AR2,011,08:30,08:45,0,0,4,,0,0,0
1,A,0,0,AR...(1),summierter Strom,17+18,AR1 + AR2,012,08:45,09:00,0,0,4,,0,0,0
1,A,0,0,AR...(1),summierter Strom,17+18,AR1 + AR2,013,09:00,09:15,0,1,5,,0,0,0
1,A,0,0,AR...(1),summierter Strom,17+18,AR1 + AR2,014,09:15,09:30,0,0,4,,1,0,0
1,A,0,0,AR...(1),summierter Strom,17+18,AR1 + AR2,015,09:30,09:45,0,0,3,,0,0,0
1,A,0,0,AR...(1),summierter Strom,17+18,AR1 + AR2,016,09:45,10:00,0,0,7,,0,0,0
1,A,0,0,AR...(1),summierter Strom,17+18,AR1 + AR2,017,10:00,10:15,0,0,4,,0,0,0
1,A,0,0,AR...(1),summierter Strom,17+18,AR1 + AR2,018,10:15,10:30,0,0,5,,0,0,0
1,A,0,0,AR...(1),summierter Strom,17+18,AR1 + AR2,019,10:30,10:45,0,0,4,,0,0,0
