verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),001,06:00,06:15,1,0,13,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),002,06:15,06:30,2,1,22,,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),003,06:30,06:45,0,1,17,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),004,06:45,07:00,0,1,21,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),005,07:00,07:15,0,0,19,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),006,07:15,07:30,0,0,52,,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),007,07:30,07:45,0,1,45,,1,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),008,07:45,08:00,1,0,31,,1,1,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),009,08:00,08:15,0,0,49,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),010,08:15,08:30,0,0,28,,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),011,08:30,08:45,0,0,22,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),012,08:45,09:00,0,1,21,,1,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),013,09:00,09:15,0,1,11,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),014,09:15,09:30,0,0,19,,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),015,09:30,09:45,0,0,18,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),016,09:45,10:00,0,0,14,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),017,10:00,10:15,0,1,20,,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),018,10:15,10:30,0,0,17,,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),019,10:30,10:45,0,0,6,,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),020,10:45,11:00,0,0,19,,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),021,11:00,11:15,0,0,22,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),022,11:15,11:30,0,0,14,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),023,11:30,11:45,2,0,17,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),024,11:45,12:00,1,0,17,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),025,12:00,12:15,1,0,24,,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),026,12:15,12:30,1,0,18,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger An den Barroseen(NW),027,12:30,12:45,1,1,14,,1,0,0
