verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,001,06:00,06:15,0,,0,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,002,06:15,06:30,0,,4,2,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,003,06:30,06:45,1,,12,1,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,004,06:45,07:00,0,,8,4,1,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,005,07:00,07:15,0,,3,0,1,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,006,07:15,07:30,0,,3,2,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,007,07:30,07:45,3,,5,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,008,07:45,08:00,0,,2,1,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,009,08:00,08:15,0,,3,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,010,08:15,08:30,0,,1,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,011,08:30,08:45,0,,6,1,1,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,012,08:45,09:00,0,,1,1,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,013,09:00,09:15,1,,3,1,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,014,09:15,09:30,0,,3,1,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,015,09:30,09:45,0,,7,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,016,09:45,10:00,1,,6,2,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,017,10:00,10:15,0,,4,1,1,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,018,10:15,10:30,0,,5,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,019,10:30,10:45,0,,4,1,1,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,020,10:45,11:00,0,,0,2,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,021,11:00,11:15,0,,3,1,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,022,11:15,11:30,0,,0,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,023,11:30,11:45,0,,3,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,024,11:45,12:00,2,,4,1,1,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,025,12:00,12:15,0,,7,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,026,12:15,12:30,0,,5,2,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,027,12:30,12:45,0,,3,1,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,028,12:45,13:00,1,,3,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,029,13:00,13:15,1,,9,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,030,13:15,13:30,0,,2,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,031,13:30,13:45,0,,4,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,032,13:45,14:00,2,,4,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,033,14:00,14:15,1,,6,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,034,14:15,14:30,1,,4,0,0,1,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,035,14:30,14:45,0,,5,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,036,14:45,15:00,1,,2,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,037,15:00,15:15,2,,3,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,038,15:15,15:30,0,,7,2,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,039,15:30,15:45,0,,5,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,040,15:45,16:00,0,,9,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,041,16:00,16:15,1,,16,1,0,0,1
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,042,16:15,16:30,1,,9,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,043,16:30,16:45,0,,5,1,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,044,16:45,17:00,0,,15,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,045,17:00,17:15,0,,8,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,046,17:15,17:30,0,,5,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,047,17:30,17:45,0,,8,0,0,0,0
1,A,1,1,A.R..(1),Zählstrom,,Rechtsabbieger Brückstraße,048,17:45,18:00,1,,4,1,0,0,0
