verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Büchnerstraße a.R. Nord (i. H. Schule),001,06:00,06:15,1,,4,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Büchnerstraße a.R. Nord (i. H. Schule),002,06:15,06:30,4,,6,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Büchnerstraße a.R. Nord (i. H. Schule),003,06:30,06:45,4,,3,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Büchnerstraße a.R. Nord (i. H. Schule),004,06:45,07:00,0,,12,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Büchnerstraße a.R. Nord (i. H. Schule),005,07:00,07:15,2,,8,1,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Büchnerstraße a.R. Nord (i. H. Schule),006,07:15,07:30,0,,10,3,1,0,3
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Büchnerstraße a.R. Nord (i. H. Schule),007,07:30,07:45,1,,13,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Büchnerstraße a.R. Nord (i. H. Schule),008,07:45,08:00,2,,23,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Büchnerstraße a.R. Nord (i. H. Schule),009,08:00,08:15,1,,12,0,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Büchnerstraße a.R. Nord (i. H. Schule),010,08:15,08:30,0,,6,1,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Büchnerstraße a.R. Nord (i. H. Schule),011,08:30,08:45,3,,9,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Büchnerstraße a.R. Nord (i. H. Schule),012,08:45,09:00,0,,6,1,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Büchnerstraße a.R. Nord (i. H. Schule),013,09:00,09:15,1,,11,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Büchnerstraße a.R. Nord (i. H. Schule),014,09:15,09:30,0,,6,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Büchnerstraße a.R. Nord (i. H. Schule),015,09:30,09:45,1,,8,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Büchnerstraße a.R. Nord (i. H. Schule),016,09:45,10:00,0,,7,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Büchnerstraße a.R. Nord (i. H. Schule),017,10:00,10:15,0,,14,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Büchnerstraße a.R. Nord (i. H. Schule),018,10:15,10:30,1,,6,0,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Büchnerstraße a.R. Nord (i. H. Schule),019,10:30,10:45,0,,6,0,0,0,0
