verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Niendorfer Str.(PP) i.R. Halberst. Ch,001,06:00,06:15,1,,2,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Niendorfer Str.(PP) i.R. Halberst. Ch,002,06:15,06:30,0,,2,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Niendorfer Str.(PP) i.R. Halberst. Ch,003,06:30,06:45,0,,2,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Niendorfer Str.(PP) i.R. Halberst. Ch,004,06:45,07:00,0,,1,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Niendorfer Str.(PP) i.R. Halberst. Ch,005,07:00,07:15,0,,1,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Niendorfer Str.(PP) i.R. Halberst. Ch,006,07:15,07:30,0,,6,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Niendorfer Str.(PP) i.R. Halberst. Ch,007,07:30,07:45,0,,3,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Niendorfer Str.(PP) i.R. Halberst. Ch,008,07:45,08:00,0,,5,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Niendorfer Str.(PP) i.R. Halberst. Ch,009,08:00,08:15,2,,6,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Niendorfer Str.(PP) i.R. Halberst. Ch,010,08:15,08:30,3,,6,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Niendorfer Str.(PP) i.R. Halberst. Ch,011,08:30,08:45,1,,6,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Niendorfer Str.(PP) i.R. Halberst. Ch,012,08:45,09:00,0,,5,0,0,0,0
