verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Diesdorfer Graseweg (N),001,06:00,06:15,0,,31,3,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Diesdorfer Graseweg (N),002,06:15,06:30,1,,40,2,2,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Diesdorfer Graseweg (N),003,06:30,06:45,2,,52,2,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Diesdorfer Graseweg (N),004,06:45,07:00,1,,54,5,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Diesdorfer Graseweg (N),005,07:00,07:15,0,,49,2,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Diesdorfer Graseweg (N),006,07:15,07:30,5,,68,2,0,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Diesdorfer Graseweg (N),007,07:30,07:45,1,,58,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Diesdorfer Graseweg (N),008,07:45,08:00,0,,60,5,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Diesdorfer Graseweg (N),009,08:00,08:15,0,,44,1,4,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Diesdorfer Graseweg (N),010,08:15,08:30,0,,44,6,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Diesdorfer Graseweg (N),011,08:30,08:45,1,,41,7,0,2,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Diesdorfer Graseweg (N),012,08:45,09:00,1,,38,7,2,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Diesdorfer Graseweg (N),013,09:00,09:15,0,,19,2,1,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Diesdorfer Graseweg (N),014,09:15,09:30,2,,34,4,3,1,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Diesdorfer Graseweg (N),015,09:30,09:45,0,,31,2,2,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Diesdorfer Graseweg (N),016,09:45,10:00,1,,46,2,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Diesdorfer Graseweg (N),017,10:00,10:15,1,,46,1,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Diesdorfer Graseweg (N),018,10:15,10:30,1,,41,2,0,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Diesdorfer Graseweg (N),019,10:30,10:45,1,,49,5,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Diesdorfer Graseweg (N),020,10:45,11:00,0,,49,4,2,0,0
