verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),001,06:00,06:15,,0,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),002,06:15,06:30,,0,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),003,06:30,06:45,,0,4,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),004,06:45,07:00,,0,10,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),005,07:00,07:15,,0,20,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),006,07:15,07:30,,0,16,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),007,07:30,07:45,,0,32,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),008,07:45,08:00,,0,24,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),009,08:00,08:15,,0,26,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),010,08:15,08:30,,0,17,0,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),011,08:30,08:45,,0,35,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),012,08:45,09:00,,0,24,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),013,09:00,09:15,,0,35,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),014,09:15,09:30,,1,19,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),015,09:30,09:45,,0,33,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),016,09:45,10:00,,0,21,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),017,10:00,10:15,,0,40,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),018,10:15,10:30,,0,27,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),019,10:30,10:45,,0,30,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),020,10:45,11:00,,0,32,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),021,11:00,11:15,,0,33,8,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),022,11:15,11:30,,0,32,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),023,11:30,11:45,,0,31,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),024,11:45,12:00,,0,26,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),025,12:00,12:15,,0,28,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),026,12:15,12:30,,0,27,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),027,12:30,12:45,,0,24,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),028,12:45,13:00,,1,20,1,0,0,0
