verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),001,06:00,06:15,,3,24,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),002,06:15,06:30,,0,59,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),003,06:30,06:45,,1,45,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),004,06:45,07:00,,1,62,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),005,07:00,07:15,,3,67,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),006,07:15,07:30,,1,65,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),007,07:30,07:45,,0,63,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),008,07:45,08:00,,1,70,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),009,08:00,08:15,,0,59,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),010,08:15,08:30,,0,49,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),011,08:30,08:45,,0,56,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),012,08:45,09:00,,3,42,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),013,09:00,09:15,,0,48,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),014,09:15,09:30,,0,36,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),015,09:30,09:45,,1,65,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),016,09:45,10:00,,0,54,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),017,10:00,10:15,,0,57,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),018,10:15,10:30,,0,59,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),019,10:30,10:45,,0,58,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),020,10:45,11:00,,0,50,5,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),021,11:00,11:15,,0,70,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),022,11:15,11:30,,0,35,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),023,11:30,11:45,,0,42,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),024,11:45,12:00,,0,50,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),025,12:00,12:15,,0,57,7,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),026,12:15,12:30,,0,50,8,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),027,12:30,12:45,,0,47,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),028,12:45,13:00,,1,48,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),029,13:00,13:15,,0,38,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),030,13:15,13:30,,0,49,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),031,13:30,13:45,,0,36,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),032,13:45,14:00,,0,53,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),033,14:00,14:15,,0,32,4,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),034,14:15,14:30,,0,41,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),035,14:30,14:45,,0,55,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),036,14:45,15:00,,0,38,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),037,15:00,15:15,,0,29,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),038,15:15,15:30,,0,53,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),039,15:30,15:45,,0,36,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),040,15:45,16:00,,0,36,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),041,16:00,16:15,,0,60,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),042,16:15,16:30,,0,52,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),043,16:30,16:45,,0,67,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),044,16:45,17:00,,0,59,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),045,17:00,17:15,,1,60,1,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),046,17:15,17:30,,0,62,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),047,17:30,17:45,,0,52,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),048,17:45,18:00,,0,53,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),049,18:00,18:15,,1,63,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ernst-Reuter-Allee (W),050,18:15,18:30,,3,65,1,0,0,0
