verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),001,06:00,06:15,7,,41,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),002,06:15,06:30,10,,43,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),003,06:30,06:45,33,,148,6,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),004,06:45,07:00,24,,123,6,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),005,07:00,07:15,18,,110,7,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),006,07:15,07:30,13,,115,3,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),007,07:30,07:45,19,,92,2,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),008,07:45,08:00,18,,130,4,4,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),009,08:00,08:15,28,,113,2,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),010,08:15,08:30,12,,94,4,4,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),011,08:30,08:45,18,,78,4,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),012,08:45,09:00,13,,78,4,4,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),013,09:00,09:15,5,,35,0,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),014,09:15,09:30,3,,53,0,3,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),015,09:30,09:45,11,,79,11,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),016,09:45,10:00,17,,94,4,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),017,10:00,10:15,9,,106,7,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),018,10:15,10:30,6,,60,7,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),019,10:30,10:45,12,,92,10,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),020,10:45,11:00,7,,62,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),021,11:00,11:15,19,,97,12,4,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),022,11:15,11:30,17,,75,5,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),023,11:30,11:45,18,,103,7,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),024,11:45,12:00,4,,72,7,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee (NW),025,12:00,12:15,13,,93,12,2,0,0
