verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,001,06:00,06:15,0,,51,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,002,06:15,06:30,0,,76,1,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,003,06:30,06:45,0,,82,2,0,1,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,004,06:45,07:00,3,,105,10,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,005,07:00,07:15,0,,87,9,2,1,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,006,07:15,07:30,1,,107,2,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,007,07:30,07:45,2,,92,5,4,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,008,07:45,08:00,1,,85,5,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,009,08:00,08:15,0,,58,2,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,010,08:15,08:30,0,,41,4,3,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,011,08:30,08:45,1,,44,8,4,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,012,08:45,09:00,0,,46,4,5,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,013,09:00,09:15,2,,38,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,014,09:15,09:30,0,,40,2,3,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,015,09:30,09:45,0,,26,1,4,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,016,09:45,10:00,0,,16,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,017,10:00,10:15,2,,22,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,018,10:15,10:30,0,,26,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,019,10:30,10:45,0,,15,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,020,10:45,11:00,0,,25,1,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,021,11:00,11:15,1,,15,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,022,11:15,11:30,0,,13,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,023,11:30,11:45,0,,15,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,024,11:45,12:00,0,,19,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,025,12:00,12:15,0,,16,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,026,12:15,12:30,0,,13,0,0,0,0
