verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,001,06:00,06:15,9,,71,4,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,002,06:15,06:30,15,,111,6,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,003,06:30,06:45,22,,202,1,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,004,06:45,07:00,26,,189,15,4,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,005,07:00,07:15,25,,128,12,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,006,07:15,07:30,13,,149,13,0,1,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,007,07:30,07:45,18,,154,7,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,008,07:45,08:00,15,,141,9,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,009,08:00,08:15,13,,141,7,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,010,08:15,08:30,20,,86,11,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,011,08:30,08:45,21,,120,9,2,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,012,08:45,09:00,15,,110,7,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,013,09:00,09:15,13,,124,9,5,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,014,09:15,09:30,15,,118,4,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,015,09:30,09:45,13,,93,7,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,016,09:45,10:00,10,,119,4,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,017,10:00,10:15,13,,114,2,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,018,10:15,10:30,19,,95,4,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,019,10:30,10:45,25,,88,4,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,020,10:45,11:00,19,,128,8,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,021,11:00,11:15,13,,113,4,6,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,022,11:15,11:30,20,,128,4,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,023,11:30,11:45,20,,111,3,6,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,024,11:45,12:00,10,,80,6,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,025,12:00,12:15,13,,128,8,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,026,12:15,12:30,21,,111,8,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,027,12:30,12:45,15,,74,1,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Neue Strombrücke,028,12:45,13:00,12,,91,2,1,0,0
