verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),001,06:00,06:15,0,,43,4,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),002,06:15,06:30,0,,52,1,1,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),003,06:30,06:45,0,,76,7,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),004,06:45,07:00,0,,88,5,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),005,07:00,07:15,1,,85,5,4,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),006,07:15,07:30,1,,88,7,4,2,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),007,07:30,07:45,2,,67,7,5,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),008,07:45,08:00,0,,91,4,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),009,08:00,08:15,0,,73,5,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),010,08:15,08:30,1,,87,6,4,1,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),011,08:30,08:45,1,,80,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),012,08:45,09:00,3,,67,8,5,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),013,09:00,09:15,0,,81,7,2,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),014,09:15,09:30,2,,79,3,3,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),015,09:30,09:45,2,,110,6,9,3,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),016,09:45,10:00,0,,93,6,5,2,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),017,10:00,10:15,1,,102,10,4,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),018,10:15,10:30,2,,115,5,3,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),019,10:30,10:45,1,,99,5,4,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),020,10:45,11:00,2,,83,2,4,4,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),021,11:00,11:15,0,,100,2,1,2,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),022,11:15,11:30,3,,83,6,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),023,11:30,11:45,1,,77,4,3,3,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),024,11:45,12:00,0,,90,12,1,2,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),025,12:00,12:15,0,,102,8,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),026,12:15,12:30,1,,90,6,1,3,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),027,12:30,12:45,0,,95,7,2,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),028,12:45,13:00,0,,82,4,5,2,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),029,13:00,13:15,1,,110,7,4,2,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),030,13:15,13:30,2,,89,1,3,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),031,13:30,13:45,1,,71,4,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),032,13:45,14:00,1,,78,8,8,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),033,14:00,14:15,0,,79,7,2,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),034,14:15,14:30,3,,93,6,5,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),035,14:30,14:45,0,,86,5,4,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),036,14:45,15:00,1,,81,4,3,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),037,15:00,15:15,3,,84,7,3,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),038,15:15,15:30,1,,92,6,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),039,15:30,15:45,2,,118,7,4,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),040,15:45,16:00,2,,85,5,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),041,16:00,16:15,1,,123,10,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),042,16:15,16:30,2,,131,6,7,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),043,16:30,16:45,1,,111,8,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),044,16:45,17:00,1,,113,5,1,2,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),045,17:00,17:15,5,,140,6,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),046,17:15,17:30,5,,115,7,1,1,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),047,17:30,17:45,1,,137,4,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),048,17:45,18:00,0,,105,5,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),049,18:00,18:15,1,,105,2,2,2,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),050,18:15,18:30,0,,110,6,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),051,18:30,18:45,0,,92,1,1,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Königstraße (W),052,18:45,19:00,0,,94,4,1,0,1
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Königstraße (S),001,06:00,06:15,0,,31,1,2,0,1
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Königstraße (S),002,06:15,06:30,0,,35,7,2,1,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Königstraße (S),003,06:30,06:45,1,,45,2,1,0,1
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Königstraße (S),004,06:45,07:00,1,,51,7,4,1,1
