verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),001,06:00,06:15,1,1,41,,1,1,3
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),002,06:15,06:30,1,0,49,,0,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),003,06:30,06:45,2,1,58,,1,1,3
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),004,06:45,07:00,1,0,33,,4,1,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),005,07:00,07:15,2,1,48,,2,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),006,07:15,07:30,3,1,44,,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),007,07:30,07:45,6,0,62,,1,0,3
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),008,07:45,08:00,1,0,71,,4,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),009,08:00,08:15,1,0,36,,2,2,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),010,08:15,08:30,1,0,47,,4,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),011,08:30,08:45,0,1,59,,2,3,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),012,08:45,09:00,2,0,52,,1,1,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),013,09:00,09:15,1,0,63,,2,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),014,09:15,09:30,1,0,77,,4,2,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),015,09:30,09:45,1,0,74,,1,1,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),016,09:45,10:00,0,0,69,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),017,10:00,10:15,0,0,78,,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),018,10:15,10:30,0,1,79,,2,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),019,10:30,10:45,1,1,64,,3,2,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),020,10:45,11:00,3,0,78,,1,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),021,11:00,11:15,0,0,78,,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),022,11:15,11:30,0,2,67,,2,1,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),023,11:30,11:45,2,0,78,,3,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),024,11:45,12:00,0,0,84,,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),025,12:00,12:15,3,2,65,,0,2,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),026,12:15,12:30,1,0,75,,3,2,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),027,12:30,12:45,0,0,76,,7,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),028,12:45,13:00,0,1,63,,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),029,13:00,13:15,3,0,79,,1,2,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),030,13:15,13:30,8,3,71,,0,1,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (Nord),031,13:30,13:45,1,0,63,,1,0,2
