verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,001,06:00,06:15,0,0,5,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,002,06:15,06:30,0,0,19,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,003,06:30,06:45,0,0,10,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,004,06:45,07:00,0,0,11,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,005,07:00,07:15,0,0,8,,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,006,07:15,07:30,0,0,6,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,007,07:30,07:45,0,0,13,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,008,07:45,08:00,0,0,10,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,009,08:00,08:15,0,0,14,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,010,08:15,08:30,0,0,11,,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,011,08:30,08:45,2,0,17,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,012,08:45,09:00,1,0,10,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,013,09:00,09:15,0,0,18,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,014,09:15,09:30,0,0,12,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,015,09:30,09:45,0,0,4,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,016,09:45,10:00,0,0,11,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,017,10:00,10:15,0,0,6,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,018,10:15,10:30,1,0,5,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,019,10:30,10:45,0,0,18,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,020,10:45,11:00,2,0,14,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,021,11:00,11:15,0,0,8,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,022,11:15,11:30,0,0,7,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,023,11:30,11:45,0,0,13,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,024,11:45,12:00,2,0,10,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,025,12:00,12:15,0,0,18,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,026,12:15,12:30,1,0,4,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,027,12:30,12:45,2,0,10,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,028,12:45,13:00,0,0,8,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,029,13:00,13:15,1,0,12,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,030,13:15,13:30,1,0,8,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,031,13:30,13:45,0,0,9,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,032,13:45,14:00,0,0,12,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,033,14:00,14:15,0,0,11,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,034,14:15,14:30,0,0,15,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,035,14:30,14:45,1,0,17,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,036,14:45,15:00,1,0,17,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Brenneckestraße,037,15:00,15:15,2,0,11,,0,0,0
