verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),001,06:00,06:15,0,0,4,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),002,06:15,06:30,0,0,6,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),003,06:30,06:45,0,0,11,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),004,06:45,07:00,0,0,6,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),005,07:00,07:15,3,0,13,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),006,07:15,07:30,4,0,18,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),007,07:30,07:45,3,0,13,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),008,07:45,08:00,1,0,19,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),009,08:00,08:15,1,0,11,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),010,08:15,08:30,0,0,8,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),011,08:30,08:45,2,0,9,,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),012,08:45,09:00,0,0,12,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),013,09:00,09:15,0,0,25,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),014,09:15,09:30,0,0,19,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),015,09:30,09:45,1,0,15,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),016,09:45,10:00,1,0,11,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),017,10:00,10:15,0,0,15,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),018,10:15,10:30,1,0,14,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),019,10:30,10:45,1,0,19,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),020,10:45,11:00,0,0,22,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),021,11:00,11:15,2,0,25,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),022,11:15,11:30,0,1,24,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),023,11:30,11:45,2,0,20,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),024,11:45,12:00,1,0,15,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),025,12:00,12:15,0,0,18,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),026,12:15,12:30,1,0,16,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),027,12:30,12:45,0,0,18,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),028,12:45,13:00,0,0,10,,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),029,13:00,13:15,2,0,23,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),030,13:15,13:30,0,0,16,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),031,13:30,13:45,2,1,18,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),032,13:45,14:00,1,0,25,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),033,14:00,14:15,0,0,15,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),034,14:15,14:30,0,0,17,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),035,14:30,14:45,2,0,23,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),036,14:45,15:00,3,0,20,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),037,15:00,15:15,0,0,17,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),038,15:15,15:30,0,0,14,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),039,15:30,15:45,3,1,20,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),040,15:45,16:00,3,0,15,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),041,16:00,16:15,0,0,29,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),042,16:15,16:30,0,0,27,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),043,16:30,16:45,1,0,14,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),044,16:45,17:00,1,0,20,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),045,17:00,17:15,0,0,13,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),046,17:15,17:30,1,0,10,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),047,17:30,17:45,1,1,28,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),048,17:45,18:00,1,0,15,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),049,18:00,18:15,0,1,15,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),050,18:15,18:30,1,0,13,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),051,18:30,18:45,4,0,12,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(West),052,18:45,19:00,0,0,12,,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Fermersleber Weg(West),001,06:00,06:15,1,1,6,,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Fermersleber Weg(West),002,06:15,06:30,2,0,2,,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Fermersleber Weg(West),003,06:30,06:45,0,2,20,,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Fermersleber Weg(West),004,06:45,07:00,3,0,17,,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Fermersleber Weg(West),005,07:00,07:15,6,3,23,,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Fermersleber Weg(West),006,07:15,07:30,2,0,17,,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Fermersleber Weg(West),007,07:30,07:45,3,0,26,,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Fermersleber Weg(West),008,07:45,08:00,3,0,19,,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Fermersleber Weg(West),009,08:00,08:15,1,1,12,,0,0,0
