verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,001,06:00,06:15,0,0,12,,0,0,4
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,002,06:15,06:30,0,0,8,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,003,06:30,06:45,1,0,11,,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,004,06:45,07:00,0,0,22,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,005,07:00,07:15,1,0,14,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,006,07:15,07:30,1,0,17,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,007,07:30,07:45,1,0,22,,1,0,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,008,07:45,08:00,1,0,14,,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,009,08:00,08:15,2,0,18,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,010,08:15,08:30,1,0,32,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,011,08:30,08:45,2,0,16,,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,012,08:45,09:00,1,0,22,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,013,09:00,09:15,0,0,26,,0,1,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,014,09:15,09:30,0,0,18,,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,015,09:30,09:45,1,0,21,,2,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,016,09:45,10:00,1,1,30,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,017,10:00,10:15,3,0,32,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,018,10:15,10:30,1,0,24,,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,019,10:30,10:45,1,2,17,,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,020,10:45,11:00,0,0,30,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,021,11:00,11:15,0,0,22,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,022,11:15,11:30,1,0,18,,0,1,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,023,11:30,11:45,0,0,26,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,024,11:45,12:00,0,0,20,,0,0,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,025,12:00,12:15,0,0,17,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,026,12:15,12:30,0,0,16,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,027,12:30,12:45,0,0,20,,2,1,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,028,12:45,13:00,1,1,27,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,029,13:00,13:15,1,0,20,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,030,13:15,13:30,1,0,24,,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,031,13:30,13:45,0,1,17,,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,032,13:45,14:00,1,1,27,,0,2,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,033,14:00,14:15,1,0,24,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,034,14:15,14:30,0,2,17,,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,035,14:30,14:45,0,0,18,,0,0,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,036,14:45,15:00,2,0,29,,0,1,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,037,15:00,15:15,0,3,18,,4,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,038,15:15,15:30,0,1,23,,0,1,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,039,15:30,15:45,0,0,23,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,040,15:45,16:00,0,0,9,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,041,16:00,16:15,0,1,29,,0,0,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,042,16:15,16:30,1,0,21,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,043,16:30,16:45,1,0,20,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,044,16:45,17:00,2,0,18,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,045,17:00,17:15,2,0,18,,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,046,17:15,17:30,0,0,27,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,047,17:30,17:45,0,0,20,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,048,17:45,18:00,0,1,15,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,049,18:00,18:15,2,0,11,,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,050,18:15,18:30,1,0,17,,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,051,18:30,18:45,0,1,16,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wiener Straße,052,18:45,19:00,0,0,11,,0,0,0
2,A,2,2,AG...(2),Zählstrom,,Geradeausfahrer Wiener Straße,001,06:00,06:15,2,2,47,,4,0,2
2,A,2,2,AG...(2),Zählstrom,,Geradeausfahrer Wiener Straße,002,06:15,06:30,4,2,79,,0,0,1
2,A,2,2,AG...(2),Zählstrom,,Geradeausfahrer Wiener Straße,003,06:30,06:45,9,1,97,,2,0,2
2,A,2,2,AG...(2),Zählstrom,,Geradeausfahrer Wiener Straße,004,06:45,07:00,5,1,106,,0,0,1
2,A,2,2,AG...(2),Zählstrom,,Geradeausfahrer Wiener Straße,005,07:00,07:15,8,1,113,,0,0,2
2,A,2,2,AG...(2),Zählstrom,,Geradeausfahrer Wiener Straße,006,07:15,07:30,6,0,103,,2,0,1
2,A,2,2,AG...(2),Zählstrom,,Geradeausfahrer Wiener Straße,007,07:30,07:45,7,1,121,,0,1,1
2,A,2,2,AG...(2),Zählstrom,,Geradeausfahrer Wiener Straße,008,07:45,08:00,12,1,107,,2,0,3
2,A,2,2,AG...(2),Zählstrom,,Geradeausfahrer Wiener Straße,009,08:00,08:15,7,0,71,,3,1,3
2,A,2,2,AG...(2),Zählstrom,,Geradeausfahrer Wiener Straße,010,08:15,08:30,2,1,60,,2,0,1
