verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),001,06:00,06:15,1,0,3,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),002,06:15,06:30,1,0,3,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),003,06:30,06:45,2,0,6,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),004,06:45,07:00,1,0,3,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),005,07:00,07:15,5,0,3,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),006,07:15,07:30,4,0,9,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),007,07:30,07:45,2,0,19,,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),008,07:45,08:00,1,1,11,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),009,08:00,08:15,2,0,10,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),010,08:15,08:30,2,0,19,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),011,08:30,08:45,3,0,20,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),012,08:45,09:00,6,0,20,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),013,09:00,09:15,2,0,12,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),014,09:15,09:30,2,0,14,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),015,09:30,09:45,4,1,13,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),016,09:45,10:00,4,0,14,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),017,10:00,10:15,3,0,13,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),018,10:15,10:30,5,0,14,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),019,10:30,10:45,5,0,16,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),020,10:45,11:00,4,0,27,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),021,11:00,11:15,5,0,15,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),022,11:15,11:30,1,0,11,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),023,11:30,11:45,1,0,18,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),024,11:45,12:00,0,0,18,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),025,12:00,12:15,3,0,19,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),026,12:15,12:30,4,0,8,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),027,12:30,12:45,0,0,14,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),028,12:45,13:00,5,0,11,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),029,13:00,13:15,1,0,11,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),030,13:15,13:30,6,0,23,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),031,13:30,13:45,2,1,8,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),032,13:45,14:00,0,0,4,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),033,14:00,14:15,1,1,11,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),034,14:15,14:30,1,0,12,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),035,14:30,14:45,2,0,18,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),036,14:45,15:00,2,0,24,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),037,15:00,15:15,1,0,16,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),038,15:15,15:30,6,0,10,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),039,15:30,15:45,4,0,11,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),040,15:45,16:00,5,0,18,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),041,16:00,16:15,4,0,24,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),042,16:15,16:30,6,0,19,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),043,16:30,16:45,2,1,25,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),044,16:45,17:00,0,1,26,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),045,17:00,17:15,5,0,27,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),046,17:15,17:30,4,0,21,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),047,17:30,17:45,2,0,14,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),048,17:45,18:00,2,0,13,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),049,18:00,18:15,1,0,16,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),050,18:15,18:30,5,0,10,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),051,18:30,18:45,4,0,12,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lindenplan (i. R. Lindenplan),052,18:45,19:00,0,0,12,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),001,06:00,06:15,0,0,8,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),002,06:15,06:30,3,0,6,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),003,06:30,06:45,7,0,12,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),004,06:45,07:00,6,0,3,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),005,07:00,07:15,8,1,10,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),006,07:15,07:30,9,0,19,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),007,07:30,07:45,6,0,18,,1,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),008,07:45,08:00,3,0,21,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),009,08:00,08:15,5,0,15,,1,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),010,08:15,08:30,1,0,13,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),011,08:30,08:45,3,0,10,,1,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),012,08:45,09:00,2,0,18,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),013,09:00,09:15,5,0,22,,1,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),014,09:15,09:30,5,0,31,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),015,09:30,09:45,3,1,32,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),016,09:45,10:00,2,0,21,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),017,10:00,10:15,5,1,19,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),018,10:15,10:30,3,0,25,,1,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),019,10:30,10:45,7,0,23,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),020,10:45,11:00,3,1,20,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),021,11:00,11:15,5,0,19,,2,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),022,11:15,11:30,5,0,19,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),023,11:30,11:45,1,0,16,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),024,11:45,12:00,2,0,15,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),025,12:00,12:15,3,0,15,,1,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),026,12:15,12:30,1,0,24,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),027,12:30,12:45,0,0,15,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),028,12:45,13:00,1,0,8,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),029,13:00,13:15,4,0,15,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),030,13:15,13:30,5,0,6,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),031,13:30,13:45,2,1,11,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),032,13:45,14:00,3,0,15,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),033,14:00,14:15,2,0,12,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),034,14:15,14:30,1,0,12,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),035,14:30,14:45,1,0,18,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),036,14:45,15:00,2,0,20,,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan (a. R. Lindenplan),037,15:00,15:15,4,0,27,,0,0,0
