verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),001,06:00,06:15,0,0,1,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),002,06:15,06:30,0,0,7,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),003,06:30,06:45,0,0,1,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),004,06:45,07:00,0,0,7,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),005,07:00,07:15,2,0,5,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),006,07:15,07:30,0,0,3,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),007,07:30,07:45,0,0,4,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),008,07:45,08:00,0,0,1,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),009,08:00,08:15,1,0,2,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),010,08:15,08:30,0,0,3,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),011,08:30,08:45,1,0,5,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),012,08:45,09:00,0,0,0,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),013,09:00,09:15,0,0,6,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),014,09:15,09:30,0,0,3,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),015,09:30,09:45,2,0,2,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),016,09:45,10:00,0,0,3,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),017,10:00,10:15,1,0,3,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),018,10:15,10:30,3,0,6,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),019,10:30,10:45,0,1,5,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),020,10:45,11:00,0,0,6,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),021,11:00,11:15,0,0,2,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),022,11:15,11:30,0,0,4,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),023,11:30,11:45,1,1,4,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),024,11:45,12:00,2,0,1,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),025,12:00,12:15,0,0,7,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),026,12:15,12:30,1,0,3,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),027,12:30,12:45,0,0,2,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),028,12:45,13:00,1,0,3,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),029,13:00,13:15,0,0,5,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),030,13:15,13:30,3,0,6,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),031,13:30,13:45,4,1,4,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),032,13:45,14:00,0,0,5,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),033,14:00,14:15,0,0,3,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),034,14:15,14:30,1,0,2,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),035,14:30,14:45,0,0,2,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),036,14:45,15:00,1,0,4,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),037,15:00,15:15,1,0,6,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),038,15:15,15:30,2,1,8,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),039,15:30,15:45,0,1,7,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),040,15:45,16:00,0,0,13,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),041,16:00,16:15,3,0,5,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),042,16:15,16:30,1,0,7,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),043,16:30,16:45,1,0,6,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),044,16:45,17:00,3,2,6,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),045,17:00,17:15,2,1,12,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Oberhofer Straße(NW),046,17:15,17:30,4,1,11,,0,0,0
