verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),001,06:00,06:15,0,1,25,,0,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),002,06:15,06:30,0,1,53,,0,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),003,06:30,06:45,0,0,49,,0,2,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),004,06:45,07:00,0,0,56,,0,3,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),005,07:00,07:15,1,0,48,,0,4,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),006,07:15,07:30,0,0,58,,1,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),007,07:30,07:45,0,2,68,,3,4,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),008,07:45,08:00,0,0,41,,1,2,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),009,08:00,08:15,1,0,32,,1,2,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),010,08:15,08:30,1,0,33,,1,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),011,08:30,08:45,1,0,43,,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),012,08:45,09:00,0,0,40,,1,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),013,09:00,09:15,1,0,49,,0,3,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),014,09:15,09:30,1,0,49,,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),015,09:30,09:45,0,0,58,,2,2,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),016,09:45,10:00,0,0,58,,1,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),017,10:00,10:15,1,0,50,,1,2,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),018,10:15,10:30,2,0,48,,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),019,10:30,10:45,0,2,68,,0,3,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),020,10:45,11:00,0,1,68,,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),021,11:00,11:15,3,0,66,,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),022,11:15,11:30,0,1,60,,1,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),023,11:30,11:45,1,0,58,,4,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),024,11:45,12:00,0,0,59,,3,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),025,12:00,12:15,0,0,68,,1,2,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),026,12:15,12:30,2,1,47,,0,3,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),027,12:30,12:45,4,0,57,,2,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),028,12:45,13:00,1,0,67,,1,2,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),029,13:00,13:15,2,0,76,,0,4,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),030,13:15,13:30,1,0,73,,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),031,13:30,13:45,0,0,79,,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),032,13:45,14:00,3,0,66,,2,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),033,14:00,14:15,2,0,64,,1,3,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),034,14:15,14:30,3,2,45,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),035,14:30,14:45,2,0,79,,2,2,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),036,14:45,15:00,4,0,81,,2,2,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),037,15:00,15:15,2,0,71,,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),038,15:15,15:30,3,2,57,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),039,15:30,15:45,1,1,89,,2,3,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),040,15:45,16:00,1,1,85,,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),041,16:00,16:15,0,1,113,,1,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),042,16:15,16:30,1,2,98,,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),043,16:30,16:45,1,0,84,,0,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),044,16:45,17:00,2,0,96,,0,2,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),045,17:00,17:15,3,0,82,,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),046,17:15,17:30,1,0,84,,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),047,17:30,17:45,0,0,91,,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),048,17:45,18:00,1,1,86,,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),049,18:00,18:15,0,2,73,,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),050,18:15,18:30,0,0,67,,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),051,18:30,18:45,0,0,59,,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ottersleber Straße (West),052,18:45,19:00,1,1,50,,0,1,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Ottersleber Str. (W),001,06:00,06:15,0,0,1,,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Ottersleber Str. (W),002,06:15,06:30,0,0,2,,0,0,0
