verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),001,06:00,06:15,0,,22,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),002,06:15,06:30,5,,24,8,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),003,06:30,06:45,4,,46,8,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),004,06:45,07:00,5,,69,17,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),005,07:00,07:15,11,,86,18,4,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),006,07:15,07:30,2,,83,16,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),007,07:30,07:45,0,,30,7,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),008,07:45,08:00,3,,17,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),009,08:00,08:15,0,,11,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),010,08:15,08:30,1,,8,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),011,08:30,08:45,0,,5,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),012,08:45,09:00,0,,2,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),013,09:00,09:15,1,,21,9,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),014,09:15,09:30,1,,33,14,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),015,09:30,09:45,0,,39,7,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),016,09:45,10:00,3,,33,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),017,10:00,10:15,0,,37,7,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),018,10:15,10:30,1,,32,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),019,10:30,10:45,0,,40,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),020,10:45,11:00,2,,32,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),021,11:00,11:15,2,,31,7,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),022,11:15,11:30,1,,39,10,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),023,11:30,11:45,2,,31,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),024,11:45,12:00,0,,37,9,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),025,12:00,12:15,1,,36,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),026,12:15,12:30,0,,30,6,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),027,12:30,12:45,1,,48,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),028,12:45,13:00,2,,35,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),029,13:00,13:15,6,,39,11,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),030,13:15,13:30,3,,41,7,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),031,13:30,13:45,2,,42,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),032,13:45,14:00,6,,49,8,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),033,14:00,14:15,1,,55,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),034,14:15,14:30,1,,51,6,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),035,14:30,14:45,1,,39,10,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),036,14:45,15:00,0,,31,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),037,15:00,15:15,3,,52,6,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),038,15:15,15:30,3,,69,8,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),039,15:30,15:45,2,,68,7,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),040,15:45,16:00,4,,67,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),041,16:00,16:15,2,,79,12,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),042,16:15,16:30,6,,55,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),043,16:30,16:45,3,,48,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),044,16:45,17:00,5,,49,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),045,17:00,17:15,3,,51,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),046,17:15,17:30,1,,53,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),047,17:30,17:45,1,,48,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),048,17:45,18:00,1,,50,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),049,18:00,18:15,1,,48,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),050,18:15,18:30,1,,43,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),051,18:30,18:45,2,,40,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wasserkunststraße(W),052,18:45,19:00,3,,38,0,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wasserkunststraße (W),001,06:00,06:15,0,,1,1,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wasserkunststraße (W),002,06:15,06:30,0,,5,2,1,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wasserkunststraße (W),003,06:30,06:45,0,,8,7,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wasserkunststraße (W),004,06:45,07:00,1,,9,8,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wasserkunststraße (W),005,07:00,07:15,1,,6,10,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wasserkunststraße (W),006,07:15,07:30,1,,9,4,1,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wasserkunststraße (W),007,07:30,07:45,1,,4,2,0,3,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wasserkunststraße (W),008,07:45,08:00,1,,1,3,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wasserkunststraße (W),009,08:00,08:15,0,,3,2,1,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wasserkunststraße (W),010,08:15,08:30,0,,1,2,1,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wasserkunststraße (W),011,08:30,08:45,1,,1,1,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wasserkunststraße (W),012,08:45,09:00,0,,1,2,1,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wasserkunststraße (W),013,09:00,09:15,0,,3,3,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wasserkunststraße (W),014,09:15,09:30,0,,1,2,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wasserkunststraße (W),015,09:30,09:45,0,,3,1,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wasserkunststraße (W),016,09:45,10:00,0,,5,1,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wasserkunststraße (W),017,10:00,10:15,1,,37,3,1,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wasserkunststraße (W),018,10:15,10:30,0,,6,4,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wasserkunststraße (W),019,10:30,10:45,0,,6,3,2,0,0
