verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,001,06:00,06:15,0,0,68,,3,1,1
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,002,06:15,06:30,0,1,57,,2,4,0
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,003,06:30,06:45,1,0,131,,3,3,0
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,004,06:45,07:00,0,0,98,,3,3,1
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,005,07:00,07:15,0,1,100,,4,3,2
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,006,07:15,07:30,0,1,119,,6,4,0
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,007,07:30,07:45,0,1,98,,4,2,1
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,008,07:45,08:00,0,0,119,,4,3,1
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,009,08:00,08:15,0,0,76,,2,4,1
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,010,08:15,08:30,0,0,105,,4,4,1
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,011,08:30,08:45,2,1,100,,2,6,0
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,012,08:45,09:00,1,0,97,,5,5,1
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,013,09:00,09:15,1,0,108,,9,5,1
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,014,09:15,09:30,0,0,101,,5,4,0
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,015,09:30,09:45,0,0,117,,6,1,1
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,016,09:45,10:00,0,1,104,,6,5,1
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,017,10:00,10:15,0,0,117,,2,5,1
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,018,10:15,10:30,0,1,121,,2,4,0
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,019,10:30,10:45,0,0,99,,4,4,1
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,020,10:45,11:00,2,0,131,,2,6,1
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,021,11:00,11:15,0,1,107,,5,3,1
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,022,11:15,11:30,0,0,117,,8,0,0
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,023,11:30,11:45,0,2,112,,6,6,1
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,024,11:45,12:00,0,0,105,,2,10,1
1,A,0,0,AG...(2),summierter Strom,17+18,AG1 + AG2,025,12:00,12:15,0,0,107,,7,6,1
