verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,001,06:00,06:15,,0,0,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,002,06:15,06:30,,0,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,003,06:30,06:45,,0,1,0,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,004,06:45,07:00,,0,1,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,005,07:00,07:15,,0,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,006,07:15,07:30,,0,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,007,07:30,07:45,,0,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,008,07:45,08:00,,0,1,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,009,08:00,08:15,,0,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,010,08:15,08:30,,0,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,011,08:30,08:45,,0,2,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,012,08:45,09:00,,0,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,013,09:00,09:15,,0,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,014,09:15,09:30,,0,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,015,09:30,09:45,,0,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,016,09:45,10:00,,0,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,017,10:00,10:15,,0,11,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,018,10:15,10:30,,0,17,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,019,10:30,10:45,,0,16,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,020,10:45,11:00,,0,25,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,021,11:00,11:15,,0,25,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,022,11:15,11:30,,0,26,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,023,11:30,11:45,,0,19,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,024,11:45,12:00,,0,20,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,025,12:00,12:15,,0,29,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,026,12:15,12:30,,0,23,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,027,12:30,12:45,,0,32,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,028,12:45,13:00,,0,28,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,029,13:00,13:15,,0,32,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,030,13:15,13:30,,0,24,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,031,13:30,13:45,,0,20,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,032,13:45,14:00,,0,25,0,0,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,033,14:00,14:15,,0,16,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,034,14:15,14:30,,0,37,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,035,14:30,14:45,,0,28,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,036,14:45,15:00,,0,29,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,037,15:00,15:15,,0,32,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,038,15:15,15:30,,0,19,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,039,15:30,15:45,,0,28,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,040,15:45,16:00,,0,16,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,041,16:00,16:15,,0,31,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,042,16:15,16:30,,0,22,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,043,16:30,16:45,,0,34,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,044,16:45,17:00,,0,30,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,045,17:00,17:15,,0,32,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,046,17:15,17:30,,0,30,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,047,17:30,17:45,,0,34,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,048,17:45,18:00,,0,33,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,049,18:00,18:15,,0,38,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,050,18:15,18:30,,0,35,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,051,18:30,18:45,,0,24,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Ausfahrt Allee-Center,052,18:45,19:00,,0,22,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,001,06:00,06:15,,0,0,0,2,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,002,06:15,06:30,,0,1,1,1,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,003,06:30,06:45,,0,0,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,004,06:45,07:00,,0,0,0,1,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,005,07:00,07:15,,0,0,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,006,07:15,07:30,,0,0,0,1,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,007,07:30,07:45,,0,1,2,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,008,07:45,08:00,,0,1,1,1,1,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,009,08:00,08:15,,0,2,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,010,08:15,08:30,,0,2,1,1,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,011,08:30,08:45,,0,2,1,1,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,012,08:45,09:00,,0,3,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,013,09:00,09:15,,0,3,1,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,014,09:15,09:30,,0,0,1,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,015,09:30,09:45,,0,3,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,016,09:45,10:00,,0,13,0,1,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,017,10:00,10:15,,0,9,1,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,018,10:15,10:30,,0,14,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,019,10:30,10:45,,0,19,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,020,10:45,11:00,,0,22,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,021,11:00,11:15,,0,19,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,022,11:15,11:30,,0,15,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,023,11:30,11:45,,0,38,0,0,1,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,024,11:45,12:00,,0,29,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,025,12:00,12:15,,0,28,1,1,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,026,12:15,12:30,,0,27,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,027,12:30,12:45,,0,30,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,028,12:45,13:00,,0,30,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,029,13:00,13:15,,0,37,2,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,030,13:15,13:30,,0,33,0,0,1,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,031,13:30,13:45,,0,35,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,032,13:45,14:00,,0,27,1,3,1,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,033,14:00,14:15,,0,24,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,034,14:15,14:30,,0,36,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,035,14:30,14:45,,0,26,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,036,14:45,15:00,,0,24,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,037,15:00,15:15,,0,29,0,1,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,038,15:15,15:30,,0,34,0,0,0,0
2,A,2,1,AL1,Zählstrom,,Linksabbieger 1 Ausfahrt  Allee-Center,039,15:30,15:45,,0,28,0,0,0,0
