verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,001,06:00,06:15,1,,36,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,002,06:15,06:30,0,,47,1,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,003,06:30,06:45,0,,37,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,004,06:45,07:00,0,,31,2,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,005,07:00,07:15,3,,36,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,006,07:15,07:30,0,,34,4,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,007,07:30,07:45,0,,30,6,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,008,07:45,08:00,0,,28,2,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,009,08:00,08:15,0,,25,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,010,08:15,08:30,2,,16,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,011,08:30,08:45,0,,36,4,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,012,08:45,09:00,0,,26,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,013,09:00,09:15,0,,18,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,014,09:15,09:30,0,,23,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,015,09:30,09:45,0,,28,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,016,09:45,10:00,0,,30,5,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,017,10:00,10:15,1,,35,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,018,10:15,10:30,5,,45,3,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,019,10:30,10:45,1,,35,9,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,020,10:45,11:00,1,,29,4,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,021,11:00,11:15,2,,39,6,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,022,11:15,11:30,2,,42,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,023,11:30,11:45,0,,39,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,024,11:45,12:00,0,,31,7,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,025,12:00,12:15,1,,40,9,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,026,12:15,12:30,0,,40,9,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,027,12:30,12:45,0,,32,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,028,12:45,13:00,2,,40,8,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,029,13:00,13:15,1,,36,2,3,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,030,13:15,13:30,0,,53,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,031,13:30,13:45,0,,53,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,032,13:45,14:00,1,,37,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,033,14:00,14:15,0,,38,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,034,14:15,14:30,2,,29,7,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,035,14:30,14:45,0,,47,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,036,14:45,15:00,0,,35,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,037,15:00,15:15,0,,35,7,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,038,15:15,15:30,1,,33,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schanzenweg,039,15:30,15:45,0,,30,2,0,0,0
