verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,001,06:00,06:15,0,,10,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,002,06:15,06:30,0,,29,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,003,06:30,06:45,0,,31,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,004,06:45,07:00,0,,32,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,005,07:00,07:15,0,,57,4,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,006,07:15,07:30,0,,43,4,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,007,07:30,07:45,1,,38,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,008,07:45,08:00,0,,36,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,009,08:00,08:15,1,,21,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,010,08:15,08:30,0,,39,5,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,011,08:30,08:45,0,,20,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,012,08:45,09:00,0,,21,1,4,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,013,09:00,09:15,0,,16,1,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,014,09:15,09:30,0,,49,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,015,09:30,09:45,1,,42,3,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,016,09:45,10:00,1,,32,1,3,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,017,10:00,10:15,0,,36,4,0,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,018,10:15,10:30,0,,39,3,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,019,10:30,10:45,0,,33,6,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,020,10:45,11:00,0,,44,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,021,11:00,11:15,0,,30,6,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,022,11:15,11:30,0,,25,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,023,11:30,11:45,0,,50,1,3,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,024,11:45,12:00,0,,35,6,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,025,12:00,12:15,0,,37,2,1,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,026,12:15,12:30,1,,38,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,027,12:30,12:45,2,,33,0,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,028,12:45,13:00,0,,34,4,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,029,13:00,13:15,1,,18,2,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,030,13:15,13:30,0,,29,8,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,031,13:30,13:45,0,,46,6,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,032,13:45,14:00,0,,40,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,033,14:00,14:15,0,,38,3,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,034,14:15,14:30,0,,33,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,035,14:30,14:45,0,,39,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Faulmannstraße,036,14:45,15:00,0,,41,3,1,0,0
