verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,001,06:00,06:15,2,,38,2,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,002,06:15,06:30,7,,40,3,0,0,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,003,06:30,06:45,12,,93,2,0,0,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,004,06:45,07:00,20,,97,7,0,0,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,005,07:00,07:15,9,,68,7,2,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,006,07:15,07:30,7,,55,4,0,0,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,007,07:30,07:45,4,,83,5,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,008,07:45,08:00,8,,79,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,009,08:00,08:15,6,,74,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,010,08:15,08:30,8,,37,9,2,0,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,011,08:30,08:45,3,,34,0,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,012,08:45,09:00,4,,49,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,013,09:00,09:15,1,,36,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,014,09:15,09:30,5,,44,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,015,09:30,09:45,4,,55,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,016,09:45,10:00,7,,51,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,017,10:00,10:15,8,,48,3,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,018,10:15,10:30,13,,50,5,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,019,10:30,10:45,7,,57,5,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,020,10:45,11:00,2,,52,3,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,021,11:00,11:15,8,,48,2,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,022,11:15,11:30,4,,62,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,023,11:30,11:45,8,,46,8,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,024,11:45,12:00,10,,66,5,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,025,12:00,12:15,9,,50,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,026,12:15,12:30,13,,67,7,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,027,12:30,12:45,8,,39,5,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,028,12:45,13:00,11,,45,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,029,13:00,13:15,5,,53,2,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,030,13:15,13:30,5,,48,1,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,031,13:30,13:45,11,,76,1,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,032,13:45,14:00,6,,43,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,033,14:00,14:15,5,,71,6,1,1,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,034,14:15,14:30,7,,61,3,0,0,3
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,035,14:30,14:45,9,,58,12,0,0,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,036,14:45,15:00,8,,78,9,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,037,15:00,15:15,8,,97,4,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,038,15:15,15:30,5,,83,7,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,039,15:30,15:45,4,,59,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,040,15:45,16:00,4,,68,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,041,16:00,16:15,9,,76,3,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,042,16:15,16:30,11,,122,10,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,043,16:30,16:45,10,,114,9,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,044,16:45,17:00,11,,99,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,045,17:00,17:15,17,,92,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,046,17:15,17:30,12,,99,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,047,17:30,17:45,13,,106,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,048,17:45,18:00,3,,88,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,049,18:00,18:15,18,,86,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,050,18:15,18:30,6,,84,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,051,18:30,18:45,11,,83,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Anna-Ebert-Brücke,052,18:45,19:00,14,,73,1,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,001,06:00,06:15,1,,17,2,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,002,06:15,06:30,8,,19,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,003,06:30,06:45,10,,50,1,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,004,06:45,07:00,18,,41,4,1,0,0
