verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),001,06:00,06:15,3,,92,2,6,6,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),002,06:15,06:30,0,,87,4,4,5,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),003,06:30,06:45,0,,102,4,5,2,4
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),004,06:45,07:00,2,,103,11,1,4,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),005,07:00,07:15,0,,89,10,6,8,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),006,07:15,07:30,1,,87,7,3,8,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),007,07:30,07:45,0,,98,9,9,11,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),008,07:45,08:00,0,,83,9,10,7,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),009,08:00,08:15,2,,107,11,9,5,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),010,08:15,08:30,0,,75,4,6,6,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),011,08:30,08:45,1,,93,13,4,8,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),012,08:45,09:00,2,,88,16,3,7,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),013,09:00,09:15,1,,78,6,9,3,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),014,09:15,09:30,1,,79,9,5,9,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),015,09:30,09:45,1,,93,20,4,12,3
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),016,09:45,10:00,0,,75,17,5,2,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),017,10:00,10:15,2,,80,20,0,5,1
