verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Bierer Weg  i. R. Dodendorfer Straße,001,06:00,06:15,0,,3,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Bierer Weg  i. R. Dodendorfer Straße,002,06:15,06:30,2,,12,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Bierer Weg  i. R. Dodendorfer Straße,003,06:30,06:45,1,,20,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Bierer Weg  i. R. Dodendorfer Straße,004,06:45,07:00,5,,19,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Bierer Weg  i. R. Dodendorfer Straße,005,07:00,07:15,4,,24,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Bierer Weg  i. R. Dodendorfer Straße,006,07:15,07:30,3,,20,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Bierer Weg  i. R. Dodendorfer Straße,007,07:30,07:45,1,,43,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Bierer Weg  i. R. Dodendorfer Straße,008,07:45,08:00,4,,43,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Bierer Weg  i. R. Dodendorfer Straße,009,08:00,08:15,3,,22,2,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Bierer Weg  i. R. Dodendorfer Straße,010,08:15,08:30,3,,20,4,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Bierer Weg  i. R. Dodendorfer Straße,011,08:30,08:45,1,,16,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Bierer Weg  i. R. Dodendorfer Straße,012,08:45,09:00,2,,21,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Bierer Weg  i. R. Dodendorfer Straße,013,09:00,09:15,0,,15,2,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Bierer Weg  i. R. Dodendorfer Straße,014,09:15,09:30,1,,17,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Bierer Weg  i. R. Dodendorfer Straße,015,09:30,09:45,0,,15,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Bierer Weg  i. R. Dodendorfer Straße,016,09:45,10:00,3,,16,5,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Bierer Weg  i. R. Dodendorfer Straße,017,10:00,10:15,2,,24,2,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Bierer Weg  i. R. Dodendorfer Straße,018,10:15,10:30,1,,16,1,0,0,0
