verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,001,06:00,06:15,4,,22,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,002,06:15,06:30,7,,35,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,003,06:30,06:45,4,,57,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,004,06:45,07:00,2,,55,3,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,005,07:00,07:15,10,,60,5,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,006,07:15,07:30,6,,44,3,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,007,07:30,07:45,4,,47,8,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,008,07:45,08:00,7,,67,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,009,08:00,08:15,2,,38,3,3,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,010,08:15,08:30,3,,47,4,0,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,011,08:30,08:45,0,,35,6,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,012,08:45,09:00,3,,32,3,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,013,09:00,09:15,2,,50,2,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,014,09:15,09:30,1,,32,5,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,015,09:30,09:45,3,,48,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,016,09:45,10:00,7,,51,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,017,10:00,10:15,2,,64,1,0,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,018,10:15,10:30,3,,51,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,019,10:30,10:45,4,,46,2,6,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,020,10:45,11:00,5,,52,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,021,11:00,11:15,3,,61,2,3,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,022,11:15,11:30,3,,55,4,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,023,11:30,11:45,6,,45,2,1,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,024,11:45,12:00,4,,51,8,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,025,12:00,12:15,6,,47,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,026,12:15,12:30,2,,49,2,4,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,027,12:30,12:45,2,,50,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,028,12:45,13:00,7,,52,4,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,029,13:00,13:15,7,,59,4,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,030,13:15,13:30,6,,60,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,031,13:30,13:45,2,,56,5,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,032,13:45,14:00,4,,55,4,1,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,033,14:00,14:15,6,,61,7,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,034,14:15,14:30,7,,64,10,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,035,14:30,14:45,6,,84,1,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (N) i. R. Salbker Straße,036,14:45,15:00,6,,78,8,1,0,0
