verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (Süd) a. R. Raiffeisenstraße,001,06:00,06:15,2,,26,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (Süd) a. R. Raiffeisenstraße,002,06:15,06:30,4,,31,1,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (Süd) a. R. Raiffeisenstraße,003,06:30,06:45,6,,49,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (Süd) a. R. Raiffeisenstraße,004,06:45,07:00,5,,52,3,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (Süd) a. R. Raiffeisenstraße,005,07:00,07:15,7,,63,2,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (Süd) a. R. Raiffeisenstraße,006,07:15,07:30,9,,52,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (Süd) a. R. Raiffeisenstraße,007,07:30,07:45,8,,71,7,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (Süd) a. R. Raiffeisenstraße,008,07:45,08:00,7,,71,0,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (Süd) a. R. Raiffeisenstraße,009,08:00,08:15,2,,51,3,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (Süd) a. R. Raiffeisenstraße,010,08:15,08:30,3,,35,5,2,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (Süd) a. R. Raiffeisenstraße,011,08:30,08:45,1,,45,4,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (Süd) a. R. Raiffeisenstraße,012,08:45,09:00,4,,41,4,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (Süd) a. R. Raiffeisenstraße,013,09:00,09:15,0,,46,4,3,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (Süd) a. R. Raiffeisenstraße,014,09:15,09:30,2,,33,4,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Dodendorfer Straße (Süd) a. R. Raiffeisenstraße,015,09:30,09:45,2,,65,2,1,0,0
