verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),001,06:00,06:15,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),002,06:15,06:30,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),003,06:30,06:45,0,,10,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),004,06:45,07:00,0,,10,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),005,07:00,07:15,0,,8,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),006,07:15,07:30,0,,9,3,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),007,07:30,07:45,0,,12,0,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),008,07:45,08:00,0,,7,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),009,08:00,08:15,0,,10,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),010,08:15,08:30,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),011,08:30,08:45,0,,2,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),012,08:45,09:00,0,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),013,09:00,09:15,0,,6,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),014,09:15,09:30,0,,6,1,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),015,09:30,09:45,0,,9,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),016,09:45,10:00,0,,3,1,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),017,10:00,10:15,0,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),018,10:15,10:30,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),019,10:30,10:45,0,,8,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),020,10:45,11:00,0,,2,0,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),021,11:00,11:15,0,,1,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),022,11:15,11:30,0,,8,4,0,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),023,11:30,11:45,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),024,11:45,12:00,0,,5,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),025,12:00,12:15,0,,4,3,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),026,12:15,12:30,0,,1,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),027,12:30,12:45,0,,3,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),028,12:45,13:00,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),029,13:00,13:15,0,,6,3,1,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),030,13:15,13:30,0,,8,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),031,13:30,13:45,0,,6,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),032,13:45,14:00,0,,6,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),033,14:00,14:15,0,,9,0,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),034,14:15,14:30,0,,11,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),035,14:30,14:45,0,,7,0,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),036,14:45,15:00,0,,3,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),037,15:00,15:15,0,,8,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),038,15:15,15:30,0,,19,4,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ebendorfer Chaussee (NW),039,15:30,15:45,0,,10,3,0,0,0
