verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,001,06:00,06:15,1,,43,4,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,002,06:15,06:30,12,,83,5,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,003,06:30,06:45,24,,129,9,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,004,06:45,07:00,29,,101,8,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,005,07:00,07:15,14,,105,10,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,006,07:15,07:30,19,,71,6,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,007,07:30,07:45,12,,107,5,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,008,07:45,08:00,29,,92,8,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,009,08:00,08:15,20,,87,10,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,010,08:15,08:30,13,,88,14,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,011,08:30,08:45,6,,74,5,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,012,08:45,09:00,18,,92,11,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,013,09:00,09:15,10,,73,13,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,014,09:15,09:30,4,,63,5,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,015,09:30,09:45,8,,101,10,4,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,016,09:45,10:00,10,,87,4,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,017,10:00,10:15,6,,102,5,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,018,10:15,10:30,21,,83,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,019,10:30,10:45,8,,117,16,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,020,10:45,11:00,16,,68,6,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,021,11:00,11:15,21,,96,9,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,022,11:15,11:30,21,,85,7,4,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,023,11:30,11:45,7,,65,8,1,4,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,024,11:45,12:00,6,,83,9,1,2,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,025,12:00,12:15,4,,37,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,026,12:15,12:30,11,,67,7,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,027,12:30,12:45,11,,77,5,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,028,12:45,13:00,6,,56,8,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,029,13:00,13:15,14,,95,7,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,030,13:15,13:30,19,,99,77,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,031,13:30,13:45,20,,96,7,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,032,13:45,14:00,27,,124,5,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,033,14:00,14:15,19,,121,9,4,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,034,14:15,14:30,19,,107,11,6,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,035,14:30,14:45,16,,118,5,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,036,14:45,15:00,20,,129,9,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,037,15:00,15:15,16,,129,12,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,038,15:15,15:30,10,,142,13,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,039,15:30,15:45,6,,152,6,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Ernst-Reuter-Allee,040,15:45,16:00,4,,138,4,1,0,0
