verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,001,06:00,06:15,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,002,06:15,06:30,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,003,06:30,06:45,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,004,06:45,07:00,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,005,07:00,07:15,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,006,07:15,07:30,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,007,07:30,07:45,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,008,07:45,08:00,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,009,08:00,08:15,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,010,08:15,08:30,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,011,08:30,08:45,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,012,08:45,09:00,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,013,09:00,09:15,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,014,09:15,09:30,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,015,09:30,09:45,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,016,09:45,10:00,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,017,10:00,10:15,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,018,10:15,10:30,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,019,10:30,10:45,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,020,10:45,11:00,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,021,11:00,11:15,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,022,11:15,11:30,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,023,11:30,11:45,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,024,11:45,12:00,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,025,12:00,12:15,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,026,12:15,12:30,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,027,12:30,12:45,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,028,12:45,13:00,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,029,13:00,13:15,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,030,13:15,13:30,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,031,13:30,13:45,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,032,13:45,14:00,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,033,14:00,14:15,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,034,14:15,14:30,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,035,14:30,14:45,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,036,14:45,15:00,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,037,15:00,15:15,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,038,15:15,15:30,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,039,15:30,15:45,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,040,15:45,16:00,0,,,,,,
1,A,1,1,AG1,Zählstrom,,Radfahrer Ernst-Reuter-Allee / Blauer Bock a. R. West,041,16:00,16:15,0,,,,,,
