verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,001,06:00,06:15,0,,25,2,2,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,002,06:15,06:30,1,,29,1,1,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,003,06:30,06:45,4,,38,4,1,2,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,004,06:45,07:00,1,,64,4,0,1,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,005,07:00,07:15,5,,69,8,1,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,006,07:15,07:30,2,,81,6,3,1,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,007,07:30,07:45,4,,85,2,2,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,008,07:45,08:00,3,,80,5,0,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,009,08:00,08:15,2,,51,2,2,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,010,08:15,08:30,2,,41,2,3,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,011,08:30,08:45,4,,41,2,1,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,012,08:45,09:00,1,,35,1,1,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,013,09:00,09:15,1,,54,7,2,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,014,09:15,09:30,1,,38,4,1,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,015,09:30,09:45,2,,23,5,1,1,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,016,09:45,10:00,4,,36,1,2,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,017,10:00,10:15,1,,21,5,6,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,018,10:15,10:30,3,,44,5,1,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,019,10:30,10:45,8,,43,7,0,1,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,020,10:45,11:00,10,,35,5,1,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,021,11:00,11:15,2,,31,4,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,022,11:15,11:30,2,,42,8,1,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,023,11:30,11:45,0,,44,7,0,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,024,11:45,12:00,3,,35,10,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i. R. Pfälzer Platz,025,12:00,12:15,2,,36,4,1,1,0
