verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),001,06:00,06:15,0,,6,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),002,06:15,06:30,2,,19,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),003,06:30,06:45,5,,59,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),004,06:45,07:00,9,,58,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),005,07:00,07:15,3,,45,0,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),006,07:15,07:30,2,,51,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),007,07:30,07:45,5,,36,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),008,07:45,08:00,12,,48,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),009,08:00,08:15,5,,31,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),010,08:15,08:30,2,,23,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),011,08:30,08:45,6,,37,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),012,08:45,09:00,8,,29,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),013,09:00,09:15,2,,23,0,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),014,09:15,09:30,0,,33,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),015,09:30,09:45,2,,31,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),016,09:45,10:00,3,,31,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),017,10:00,10:15,12,,27,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),018,10:15,10:30,1,,24,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),019,10:30,10:45,1,,26,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),020,10:45,11:00,1,,18,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),021,11:00,11:15,4,,15,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),022,11:15,11:30,0,,26,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),023,11:30,11:45,0,,21,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),024,11:45,12:00,2,,11,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),025,12:00,12:15,1,,13,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),026,12:15,12:30,2,,22,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),027,12:30,12:45,2,,18,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),028,12:45,13:00,3,,16,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),029,13:00,13:15,2,,16,0,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),030,13:15,13:30,2,,15,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),031,13:30,13:45,1,,24,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),032,13:45,14:00,2,,21,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),033,14:00,14:15,0,,12,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),034,14:15,14:30,0,,13,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),035,14:30,14:45,0,,24,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),036,14:45,15:00,2,,18,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg(W),037,15:00,15:15,1,,17,0,0,0,0
