verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),001,06:00,06:15,0,,1,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),002,06:15,06:30,1,,2,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),003,06:30,06:45,0,,2,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),004,06:45,07:00,1,,5,1,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),005,07:00,07:15,1,,7,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),006,07:15,07:30,2,,10,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),007,07:30,07:45,1,,8,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),008,07:45,08:00,0,,5,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),009,08:00,08:15,3,,7,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),010,08:15,08:30,0,,7,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),011,08:30,08:45,0,,2,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),012,08:45,09:00,0,,4,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),013,09:00,09:15,1,,6,1,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),014,09:15,09:30,0,,5,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),015,09:30,09:45,2,,3,1,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),016,09:45,10:00,0,,5,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),017,10:00,10:15,0,,4,1,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),018,10:15,10:30,1,,7,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),019,10:30,10:45,2,,4,2,2,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),020,10:45,11:00,0,,8,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),021,11:00,11:15,0,,8,1,0,0,1
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),022,11:15,11:30,1,,1,0,1,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),023,11:30,11:45,0,,6,2,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),024,11:45,12:00,0,,7,2,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Gerhart-Hauptmann-Straße (N),025,12:00,12:15,2,,5,0,0,0,0
