verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),001,06:00,06:15,0,,2,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),002,06:15,06:30,0,,0,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),003,06:30,06:45,5,,5,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),004,06:45,07:00,3,,10,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),005,07:00,07:15,1,,9,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),006,07:15,07:30,3,,13,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),007,07:30,07:45,3,,9,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),008,07:45,08:00,3,,17,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),009,08:00,08:15,0,,12,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),010,08:15,08:30,0,,2,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),011,08:30,08:45,2,,7,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),012,08:45,09:00,2,,2,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),013,09:00,09:15,1,,2,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),014,09:15,09:30,0,,5,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),015,09:30,09:45,1,,1,0,1,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),016,09:45,10:00,2,,1,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),017,10:00,10:15,2,,2,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),018,10:15,10:30,2,,2,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),019,10:30,10:45,0,,3,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),020,10:45,11:00,0,,1,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),021,11:00,11:15,2,,2,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),022,11:15,11:30,0,,3,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),023,11:30,11:45,2,,6,2,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),024,11:45,12:00,0,,7,1,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),025,12:00,12:15,0,,4,2,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),026,12:15,12:30,0,,1,2,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),027,12:30,12:45,0,,3,1,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),028,12:45,13:00,1,,2,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),029,13:00,13:15,2,,1,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),030,13:15,13:30,0,,2,2,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),031,13:30,13:45,0,,0,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),032,13:45,14:00,0,,2,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),033,14:00,14:15,0,,5,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),034,14:15,14:30,0,,4,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),035,14:30,14:45,0,,1,1,1,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),036,14:45,15:00,0,,7,1,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),037,15:00,15:15,0,,3,0,1,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),038,15:15,15:30,0,,5,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),039,15:30,15:45,0,,0,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),040,15:45,16:00,1,,7,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),041,16:00,16:15,0,,4,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),042,16:15,16:30,1,,5,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),043,16:30,16:45,0,,5,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),044,16:45,17:00,0,,6,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),045,17:00,17:15,0,,6,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),046,17:15,17:30,0,,4,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),047,17:30,17:45,1,,8,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),048,17:45,18:00,2,,3,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),049,18:00,18:15,2,,9,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),050,18:15,18:30,0,,4,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),051,18:30,18:45,2,,1,0,0,0,0
1,A,1,1,AR...(3),Zählstrom,,Rechtsabbieger Goethestraße (W),052,18:45,19:00,4,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),001,06:00,06:15,11,,8,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),002,06:15,06:30,15,,9,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),003,06:30,06:45,16,,27,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),004,06:45,07:00,26,,18,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),005,07:00,07:15,24,,35,2,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),006,07:15,07:30,12,,33,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),007,07:30,07:45,31,,24,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),008,07:45,08:00,34,,32,1,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),009,08:00,08:15,23,,35,1,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),010,08:15,08:30,9,,33,4,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),011,08:30,08:45,13,,35,1,1,0,0
